go_id	name	namespace	tax_id	taxon_name	rank	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide
GO:0000015	phosphopyruvate hydratase complex	cellular_component	848	Fusobacterium	genus	22.915909901553253	18.71524839267039	23.04219906612463	NA	20.57507137623627	20.300210893391547	23.690852367314953	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0000015	phosphopyruvate hydratase complex	cellular_component	29465	Veillonella	genus	19.510559017506647	20.199253575473286	20.120823581776403	20.961824252803122	19.424051126130248	18.618720532958626	18.599138149678204	20.15401687112239	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000015	phosphopyruvate hydratase complex	cellular_component	117563	Granulicatella	genus	18.22038445200018	18.67728524121484	17.83465439723366	19.108739187732418	18.738832466062853	19.013139949241392	17.902409189640842	17.31617678433149	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000027	ribosomal large subunit assembly	biological_process	848	Fusobacterium	genus	21.605496584914352	18.16014402064744	22.38058762893126	NA	20.55086314191357	19.745106521368598	21.296641988467034	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0000035	acyl binding	molecular_function	848	Fusobacterium	genus	24.711009755359246	20.923089090104078	25.54243337358476	NA	22.58131140998966	22.495653502517907	24.699500250051543	15.639352108297475	1.0	NA	1.0	1.0	1.0	1.0
GO:0000036	acyl carrier activity	molecular_function	848	Fusobacterium	genus	24.711009755359246	20.923089090104078	25.54243337358476	NA	22.58131140998966	22.495653502517907	24.699500250051543	15.639352108297475	1.0	NA	1.0	1.0	1.0	1.0
GO:0000036	acyl carrier activity	molecular_function	29465	Veillonella	genus	22.503325159991906	24.069065482406774	22.505520390120736	23.732744927669486	22.519915196548336	22.391899581526644	22.484317806555612	24.991449755766578	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000049	tRNA binding	molecular_function	848	Fusobacterium	genus	23.672189063095804	20.76271754810214	24.245574749142826	NA	21.542534000392124	22.3476800488233	24.03224538008143	NA	3.0	NA	3.0	3.0	3.0	NA
GO:0000049	tRNA binding	molecular_function	1301	Streptococcus	genus	19.489268025631272	22.303630778409808	NA	22.11462509445048	19.977049587427288	23.10160166581039	20.165276380477575	20.92331937907999	NA	1.0	1.0	1.0	1.0	1.0
GO:0000049	tRNA binding	molecular_function	29465	Veillonella	genus	21.710377422895423	23.995750153580012	21.239299755651963	24.820149471159503	22.25917130482403	22.48875494317762	21.416509715009646	23.806989586297252	3.0	3.0	3.0	3.0	3.0	3.0
GO:0000050	urea cycle	biological_process	1301	Streptococcus	genus	23.544938422139758	23.796759879011315	24.051155834626908	23.447391024841664	21.135911447201053	23.929894835594432	24.021471323102386	23.958194103628987	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000104	succinate dehydrogenase activity	molecular_function	29465	Veillonella	genus	23.351897846617362	24.952957880526125	23.73796592184427	25.343418785222294	23.027951104450924	22.934051009336123	23.19071519999624	25.48147201829963	2.0	2.0	2.0	2.0	2.0	2.0
GO:0000104	succinate dehydrogenase activity	molecular_function	117563	Granulicatella	genus	18.93303556656284	16.48906412712333	16.28802607274325	NA	19.511581078635047	18.07402662784449	19.362555033432773	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0000160	phosphorelay signal transduction system	biological_process	848	Fusobacterium	genus	20.825853240110334	17.529010000278774	22.015275738675513	NA	17.465691478209727	19.113972500999928	20.14084207626161	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0000166	nucleotide binding	molecular_function	29465	Veillonella	genus	17.001486924042066	19.156489502645254	16.607617158825164	17.791768629513232	18.164286429073936	17.482482895791723	NA	20.357062041449623	1.0	1.0	1.0	1.0	NA	1.0
GO:0000287	magnesium ion binding	molecular_function	724	Haemophilus	genus	17.58823401168957	17.343879397842496	18.340950876262696	17.82067933650429	NA	NA	17.98333746396326	18.029457744163143	1.0	1.0	NA	NA	1.0	1.0
GO:0000287	magnesium ion binding	molecular_function	848	Fusobacterium	genus	24.04941887567984	20.097313044950802	24.506828318404395	NA	22.059293917217772	21.68227554567196	24.509069616060465	NA	7.0	NA	7.0	7.0	7.0	NA
GO:0000287	magnesium ion binding	molecular_function	1301	Streptococcus	genus	22.26873412216686	24.599483588724127	20.957677407280457	23.797543591654385	22.16430099926468	25.84524241743195	23.00581864684114	20.41479912181201	3.0	6.0	4.0	6.0	5.0	3.0
GO:0000287	magnesium ion binding	molecular_function	29465	Veillonella	genus	20.762430539523645	21.994403038677532	21.177845493009475	22.97652903780106	20.924844667612753	19.79562065931873	19.892463808178285	21.68469382603711	4.0	4.0	3.0	3.0	4.0	3.0
GO:0000287	magnesium ion binding	molecular_function	117563	Granulicatella	genus	19.943200151487023	19.70055988594209	17.83465439723366	19.277334595251723	20.686166763587533	20.122343624626943	20.07347950362115	19.57186998544707	1.0	2.0	3.0	3.0	3.0	3.0
GO:0000305	response to oxygen radical	biological_process	848	Fusobacterium	genus	20.236691933480955	16.41636578335771	21.2511595938453	NA	19.6896238113869	18.001328284078863	18.47759517967425	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	848	Fusobacterium	genus	21.323730985231325	18.443329777386246	21.64565523533268	NA	20.395351579761293	20.0282922781074	21.615988651582875	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	848	Fusobacterium	genus	25.335129938647533	21.808890179175055	25.96567188001489	NA	24.55124236536933	23.393852679896213	25.13596389940437	NA	2.0	NA	2.0	2.0	2.0	NA
GO:0000721	(R,R)-butanediol dehydrogenase activity	molecular_function	1301	Streptococcus	genus	15.283782185148365	17.82534986795769	16.868744685869522	19.090170921847623	NA	15.026412088619884	NA	16.68399270847606	1.0	1.0	NA	1.0	NA	1.0
GO:0000902	cell morphogenesis	biological_process	848	Fusobacterium	genus	19.786669344092115	17.163102747091234	19.18138519592699	NA	17.630448018155306	18.74806524781239	20.869586487484725	NA	2.0	NA	2.0	2.0	2.0	NA
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	848	Fusobacterium	genus	21.143575014490754	18.171574152778287	21.85096154766928	NA	20.571504265615058	19.756536653499445	20.6176338088998	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0000921	septin ring assembly	biological_process	1301	Streptococcus	genus	18.026991508366162	21.073767997126073	NA	20.286801101508644	18.169159316360687	21.211417536228325	18.950283643338196	21.474663702069513	NA	2.0	2.0	2.0	2.0	2.0
GO:0002161	aminoacyl-tRNA editing activity	molecular_function	848	Fusobacterium	genus	19.791189574552792	17.181267901902384	19.295085063889246	NA	18.611335549432578	18.766230402623542	20.678391324796465	NA	2.0	NA	2.0	2.0	2.0	NA
GO:0002161	aminoacyl-tRNA editing activity	molecular_function	29465	Veillonella	genus	16.150960177017353	19.43710904846389	NA	19.83614299120211	17.73592267773851	18.20452043181954	NA	19.765741233479222	NA	1.0	1.0	1.0	NA	1.0
GO:0002181	cytoplasmic translation	biological_process	848	Fusobacterium	genus	23.893638868983114	21.468763982578906	24.525507642187804	NA	22.484496248317498	23.05372648330006	23.996490064758568	NA	2.0	NA	2.0	2.0	2.0	NA
GO:0003676	nucleic acid binding	molecular_function	848	Fusobacterium	genus	21.479645317851848	18.480501102609377	21.936576967442207	NA	19.876925761444557	20.06546360333053	21.85607448760728	NA	2.0	NA	2.0	2.0	2.0	NA
GO:0003676	nucleic acid binding	molecular_function	29465	Veillonella	genus	21.4352954819857	23.835408278111732	20.11504222502536	24.31297352272669	22.345987975896936	22.803925581884986	20.96053793284525	23.996845911259207	3.0	4.0	4.0	4.0	3.0	4.0
GO:0003676	nucleic acid binding	molecular_function	117563	Granulicatella	genus	15.130301778417655	13.012861768158738	14.531442660122714	NA	15.202009951442658	NA	15.496289660200802	14.597824268879895	1.0	NA	1.0	NA	1.0	1.0
GO:0003677	DNA binding	molecular_function	848	Fusobacterium	genus	24.108931378839102	21.415465627517623	24.573693699563186	NA	22.517539016681745	23.000428128238777	24.474130062653142	NA	4.0	NA	4.0	4.0	4.0	NA
GO:0003677	DNA binding	molecular_function	1301	Streptococcus	genus	21.93766782544598	23.59159036747668	20.826147691135972	22.46248168453892	22.076832401116473	24.36355393737885	22.459649886744945	23.33180054925667	7.0	12.0	8.0	12.0	12.0	12.0
GO:0003677	DNA binding	molecular_function	1578	Lactobacillus	genus	16.551889666026856	18.113124757004336	NA	17.458316565406072	18.13685216674801	18.136009797827352	NA	18.5448556266406	NA	1.0	1.0	1.0	NA	1.0
GO:0003677	DNA binding	molecular_function	29465	Veillonella	genus	21.497154539196107	23.394098924661566	21.167889451135576	23.487426070019325	21.927105234033377	22.281432730816366	21.274303847658146	23.9506349802184	10.0	8.0	9.0	10.0	9.0	9.0
GO:0003677	DNA binding	molecular_function	117563	Granulicatella	genus	19.905952685907668	17.548276524652536	17.914029193724303	16.220535515596097	20.82027374420069	15.734027686585756	19.69491330256577	18.7606940735562	1.0	1.0	2.0	1.0	2.0	2.0
GO:0003697	single-stranded DNA binding	molecular_function	848	Fusobacterium	genus	22.886698879429037	19.17947474245931	23.25115164971575	NA	21.48899901339969	20.764437243180463	23.301454689971937	NA	2.0	NA	2.0	2.0	2.0	NA
GO:0003700	DNA-binding transcription factor activity	molecular_function	1301	Streptococcus	genus	19.076288865771012	20.182129879278406	NA	18.812366957297737	19.20105438458261	20.90195524557818	20.00961183812256	20.132318324707708	NA	3.0	1.0	3.0	3.0	3.0
GO:0003700	DNA-binding transcription factor activity	molecular_function	29465	Veillonella	genus	18.133265516148494	20.08373949322156	18.261421602909063	19.388556517724602	18.163492599266945	19.018283011890183	17.958532051093894	21.013187817295712	3.0	2.0	2.0	2.0	2.0	3.0
GO:0003723	RNA binding	molecular_function	848	Fusobacterium	genus	25.341502000335904	21.82509945068354	25.973576711144407	NA	24.552865022442276	23.410061951404693	25.1427718089954	NA	3.0	NA	3.0	3.0	3.0	NA
GO:0003723	RNA binding	molecular_function	1301	Streptococcus	genus	16.847951044497478	20.457060723187574	17.095868168540157	21.21028871464853	15.941391525760666	20.062036557192503	17.203026878987483	19.60492316518751	2.0	2.0	2.0	2.0	1.0	1.0
GO:0003723	RNA binding	molecular_function	29465	Veillonella	genus	17.54324737560502	20.152176358783763	16.295954134267287	20.28535563818361	17.509343731426473	16.111549561608467	18.223111122036574	21.033862594262903	1.0	1.0	1.0	1.0	1.0	1.0
GO:0003735	structural constituent of ribosome	molecular_function	724	Haemophilus	genus	21.740866480272825	20.581026891321095	20.66086362094842	18.922384560883685	NA	NA	23.078276224095273	22.005015316433983	1.0	1.0	NA	NA	1.0	1.0
GO:0003735	structural constituent of ribosome	molecular_function	848	Fusobacterium	genus	27.211848417529346	24.35825921737412	27.65923047405257	NA	26.3661080698423	25.943221718095277	27.32289461700983	NA	15.0	NA	15.0	15.0	15.0	NA
GO:0003735	structural constituent of ribosome	molecular_function	1301	Streptococcus	genus	23.51795671985346	24.947715271220968	23.44071576896803	24.581861774237208	23.240335863067468	25.569240755937404	23.813304814834567	24.40292119090418	6.0	9.0	8.0	9.0	6.0	8.0
GO:0003735	structural constituent of ribosome	molecular_function	29465	Veillonella	genus	23.771675634603326	25.68917734253975	23.354083815138356	26.01034027726341	24.363146152575105	24.569131315089248	23.34610641155161	26.057200982986302	10.0	12.0	9.0	12.0	10.0	12.0
GO:0003735	structural constituent of ribosome	molecular_function	117563	Granulicatella	genus	22.137948567005328	21.556083324822385	20.28958003177037	21.068628273290635	22.798535973552596	21.8830464145959	22.328964945378196	21.60201221803824	4.0	6.0	8.0	8.0	8.0	6.0
GO:0003743	translation initiation factor activity	molecular_function	29465	Veillonella	genus	18.62214663742274	20.481259768089423	18.431400582976057	20.670558980935773	19.064107840525338	19.281571758617545	18.236428153555597	20.9916352281231	1.0	1.0	1.0	1.0	1.0	1.0
GO:0003743	translation initiation factor activity	molecular_function	117563	Granulicatella	genus	16.579897561560305	17.096753073954154	NA	NA	17.344255968465674	17.20167948135272	16.95994602904221	18.041282075266654	NA	NA	1.0	1.0	1.0	1.0
GO:0003746	translation elongation factor activity	molecular_function	538	Eikenella	genus	20.6023645857913	15.962773680288054	22.095058653016448	17.25112521395041	18.174653340418462	15.119848183191818	NA	NA	1.0	1.0	1.0	1.0	NA	NA
GO:0003746	translation elongation factor activity	molecular_function	848	Fusobacterium	genus	23.790878526149264	21.09530651218303	23.777042206080512	NA	22.813602831726076	22.680269012904187	24.377385582154908	NA	3.0	NA	3.0	3.0	3.0	NA
GO:0003746	translation elongation factor activity	molecular_function	1301	Streptococcus	genus	21.688344257826483	22.738879503502766	22.419616954411115	21.665856640836548	19.634755752927155	23.975172419472887	21.824552574872936	20.171874124673955	1.0	2.0	2.0	2.0	1.0	2.0
GO:0003746	translation elongation factor activity	molecular_function	2093	Mycoplasma	genus	15.196933246895247	16.523941386545005	15.351858536659272	16.83326590514349	NA	16.272308187546866	16.11274937871817	16.405101010919722	1.0	1.0	NA	1.0	1.0	1.0
GO:0003746	translation elongation factor activity	molecular_function	29465	Veillonella	genus	23.044278259080393	24.480820963106602	22.74221336294966	24.714295766734818	23.518524147684015	24.052169710148018	22.721840523153926	24.593695581033245	5.0	8.0	7.0	7.0	7.0	8.0
GO:0003746	translation elongation factor activity	molecular_function	52972	Polaromonas	genus	23.051723024478814	24.788623282796507	19.871095526652795	21.31855497926345	24.526648062286164	23.837584365812177	19.8675358581728	26.04714152033054	1.0	1.0	1.0	1.0	1.0	1.0
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular_function	848	Fusobacterium	genus	22.68185614309771	20.66802713840135	21.930357758826943	NA	21.254969408568865	22.252989639122504	23.70623330048887	NA	3.0	NA	3.0	3.0	3.0	NA
