id	taxon_name	rank	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
481	Neisseriaceae	family	21.187327086512457	16.54773618100921	22.095058653016448	17.25112521395041	18.174653340418462	15.119848183191818	NA	NA	1.0	1.0	1.0	1.0	NA	NA	1.0	1.0	1.0	1.0	NA	NA
538	Eikenella	genus	21.187327086512457	16.54773618100921	22.095058653016448	17.25112521395041	18.174653340418462	15.119848183191818	NA	NA	1.0	1.0	1.0	1.0	NA	NA	1.0	1.0	1.0	1.0	NA	NA
539	Eikenella corrodens	species	21.187327086512457	16.54773618100921	22.095058653016448	17.25112521395041	18.174653340418462	15.119848183191818	NA	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
712	Pasteurellaceae	family	26.455085154559853	24.240760984631773	24.965005542520593	22.21824492636595	NA	17.341365183225566	27.1723016809798	25.697827115441513	12.0	12.0	NA	1.0	12.0	12.0	1.0	1.0	NA	NA	1.0	1.0
724	Haemophilus	genus	26.04354558933324	24.308669239875655	23.492384934027815	21.572746877221118	NA	NA	26.914902175839632	25.196109891206774	5.0	5.0	NA	NA	5.0	5.0	1.0	1.0	NA	NA	1.0	1.0
729	Haemophilus parainfluenzae	species	23.516051135977808	21.837453207025042	22.113077280032016	20.132830444840515	NA	NA	24.21369255243491	22.59720435962726	4.0	4.0	NA	NA	4.0	4.0	NA	NA	NA	NA	NA	NA
836	Porphyromonas	genus	19.604617973372562	18.70630907862036	18.312097558963575	NA	18.420179477366947	18.70630907862036	20.710139866200855	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
848	Fusobacterium	genus	29.733858865090504	26.93026670840461	30.228150032344214	NA	28.211520749631937	27.929832150995807	30.04797557044146	16.2331174648144	144.0	NA	144.0	144.0	144.0	2.0	1.0	NA	1.0	1.0	1.0	NA
860	Fusobacterium periodonticum	species	25.89725441500112	24.69578400057317	25.103318442446582	NA	23.47412400139382	24.69578400057317	27.058678073077175	NA	28.0	NA	28.0	28.0	28.0	NA	NA	NA	NA	NA	NA	NA
976	Bacteroidetes	phylum	19.604617973372562	18.70630907862036	18.312097558963575	NA	18.420179477366947	18.70630907862036	20.710139866200855	NA	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	NA
