id	name	namespace	UPS1_mean	UPS2_mean	UPS1_01	UPS1_02	UPS1_03	UPS1_04	UPS2_01	UPS2_02	UPS2_03	UPS2_04	UPS1_01_n_peptide	UPS1_02_n_peptide	UPS1_03_n_peptide	UPS1_04_n_peptide	UPS2_01_n_peptide	UPS2_02_n_peptide	UPS2_03_n_peptide	UPS2_04_n_peptide	UPS1_01_n_samp_children	UPS1_02_n_samp_children	UPS1_03_n_samp_children	UPS1_04_n_samp_children	UPS2_01_n_samp_children	UPS2_02_n_samp_children	UPS2_03_n_samp_children	UPS2_04_n_samp_children
GO:0000002	mitochondrial genome maintenance	biological_process	21.869121263523724	21.79587256242258	22.636533465130498	21.975549926540886	NA	19.69271613004808	21.658912968071732	22.327787859687984	NA	21.16261468565407	1.0	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000003	reproduction	biological_process	26.95037507900439	26.52555921154061	27.806646790159736	27.179599233719753	25.009950365368997	26.548553551816724	26.68690934867892	27.159722119582874	25.702490567048336	26.137942709589115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000006	high-affinity zinc transmembrane transporter activity	molecular_function	20.020493598547592	19.64886281725017	19.607993802618253	16.587452106925046	20.414870606895796	20.901545151922242	NA	20.250681736512124	NA	18.59707863077741	1.0	1.0	1.0	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000015	phosphopyruvate hydratase complex	cellular_component	32.2436991396952	32.19518852066477	32.344153308975294	32.21492437516865	32.3134537174556	32.088644750467	32.13867109630236	32.38022376160187	32.07418835858809	32.16901693796693	49.0	53.0	47.0	53.0	53.0	48.0	51.0	48.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000018	regulation of DNA recombination	biological_process	27.08715766900381	27.440055109944083	27.0042307738303	27.06259609311167	27.251085765577052	27.016807872140085	27.10192036135585	27.313399288923364	27.631866619212808	27.642676446446995	33.0	37.0	25.0	35.0	35.0	32.0	36.0	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000023	maltose metabolic process	biological_process	24.827892575846807	25.17320081911278	24.943425215872516	24.981696622863875	24.356371383463454	24.942822295953604	25.46290701867798	24.977921135811897	25.06406497167424	25.139722664281166	12.0	13.0	9.0	11.0	12.0	12.0	12.0	13.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000025	maltose catabolic process	biological_process	24.827892575846807	25.17320081911278	24.943425215872516	24.981696622863875	24.356371383463454	24.942822295953604	25.46290701867798	24.977921135811897	25.06406497167424	25.139722664281166	12.0	13.0	9.0	11.0	12.0	12.0	12.0	13.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000027	ribosomal large subunit assembly	biological_process	33.13877374938105	33.0601994337007	33.21900675799554	33.03910599141829	33.1969258506851	33.09249638135985	33.02119695695099	33.24310341064878	32.83232301491105	33.113470530146	148.0	153.0	141.0	147.0	151.0	142.0	132.0	142.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000028	ribosomal small subunit assembly	biological_process	34.045874351194186	33.96713984250377	34.189829710707286	33.9748146281824	34.063895035195785	33.942048345342656	33.99845523104163	34.077147755834744	33.86908061415208	33.91504292654366	160.0	166.0	155.0	155.0	164.0	156.0	156.0	154.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000032	cell wall mannoprotein biosynthetic process	biological_process	21.746822972933508	21.767897720656997	20.906553516099343	21.49023738857931	21.05667555078504	22.735673842196807	22.177671244327804	21.067893382568236	22.458285973070915	20.590781711297453	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
