uniprot_accession	ups1_amount_fmol	ups2_amount_fmol	go
P00915	5000	50000	GO:0004064,GO:0004089,GO:0005829,GO:0006730,GO:0008270,GO:0015701,GO:0016836,GO:0035722,GO:0070062
P00918	5000	50000	GO:0001822,GO:0002009,GO:0004064,GO:0004089,GO:0005737,GO:0005829,GO:0005886,GO:0005902,GO:0008270,GO:0009268,GO:0010043,GO:0015670,GO:0015701,GO:0016323,GO:0030424,GO:0032230,GO:0032849,GO:0038166,GO:0042475,GO:0043209,GO:0043627,GO:0044070,GO:0045177,GO:0045672,GO:0045780,GO:0046903,GO:0048545,GO:0051453,GO:0070062,GO:0071498,GO:2001150,GO:2001225
P01031	5000	50000	GO:0000187,GO:0001701,GO:0004866,GO:0005102,GO:0005576,GO:0005579,GO:0005615,GO:0006935,GO:0006954,GO:0006957,GO:0006958,GO:0007166,GO:0007186,GO:0008009,GO:0010575,GO:0010760,GO:0019835,GO:0030449,GO:0045766,GO:0070062,GO:0090197
P69905	5000	50000	GO:0005344,GO:0005506,GO:0005576,GO:0005615,GO:0005829,GO:0005833,GO:0006898,GO:0010942,GO:0015671,GO:0015701,GO:0016020,GO:0019825,GO:0020037,GO:0022627,GO:0031838,GO:0042542,GO:0042744,GO:0051291,GO:0070062,GO:0071682,GO:0072562,GO:0098869
P68871	5000	50000	GO:0005344,GO:0005576,GO:0005615,GO:0005829,GO:0005833,GO:0006898,GO:0007596,GO:0008217,GO:0010942,GO:0015671,GO:0015701,GO:0019825,GO:0020037,GO:0030185,GO:0030492,GO:0031838,GO:0042542,GO:0042744,GO:0043312,GO:0045429,GO:0046872,GO:0050880,GO:0051291,GO:0070062,GO:0070293,GO:0070527,GO:0071682,GO:0072562,GO:0098869,GO:1904724,GO:1904813
P41159	5000	50000	GO:0000122,GO:0001525,GO:0001542,GO:0001666,GO:0001890,GO:0001936,GO:0002021,GO:0003300,GO:0005179,GO:0005576,GO:0005615,GO:0005737,GO:0006006,GO:0006111,GO:0006112,GO:0006114,GO:0006629,GO:0006635,GO:0006909,GO:0007260,GO:0007565,GO:0007623,GO:0008203,GO:0008206,GO:0008217,GO:0008343,GO:0010507,GO:0010888,GO:0014068,GO:0014823,GO:0019953,GO:0021954,GO:0030073,GO:0030217,GO:0030300,GO:0032008,GO:0032099,GO:0032310,GO:0032355,GO:0032615,GO:0032760,GO:0032814,GO:0032817,GO:0032868,GO:0033197,GO:0033210,GO:0033686,GO:0035360,GO:0035630,GO:0038108,GO:0042102,GO:0042269,GO:0042307,GO:0042445,GO:0042531,GO:0042593,GO:0042755,GO:0043066,GO:0043270,GO:0043410,GO:0044320,GO:0045471,GO:0045765,GO:0045906,GO:0046325,GO:0046427,GO:0046628,GO:0046850,GO:0046881,GO:0048639,GO:0050796,GO:0050810,GO:0050892,GO:0050901,GO:0050999,GO:0051428,GO:0051726,GO:0051897,GO:0060587,GO:0060612,GO:0061037,GO:0070093,GO:0071298,GO:0071300,GO:0072604,GO:0072606,GO:0090335,GO:0098868,GO:0120162,GO:1900015,GO:1900745,GO:1904651,GO:1990051,GO:2000379,GO:2000486,GO:2000491
P02768	5000	50000	GO:0001895,GO:0002576,GO:0003677,GO:0005504,GO:0005507,GO:0005576,GO:0005615,GO:0005634,GO:0005783,GO:0005788,GO:0005794,GO:0006898,GO:0008144,GO:0009267,GO:0015643,GO:0016209,GO:0019836,GO:0030170,GO:0031093,GO:0032991,GO:0034375,GO:0042802,GO:0043066,GO:0043069,GO:0043209,GO:0043687,GO:0044267,GO:0051087,GO:0051659,GO:0070062,GO:0072562
P62988	5000	50000	GO:0000122,GO:0000187,GO:0000209,GO:0000715,GO:0002755,GO:0005615,GO:0005634,GO:0005654,GO:0005739,GO:0005741,GO:0005789,GO:0005829,GO:0005886,GO:0006283,GO:0006294,GO:0006296,GO:0006297,GO:0006625,GO:0007179,GO:0007249,GO:0007254,GO:0010008,GO:0016055,GO:0016197,GO:0016567,GO:0016579,GO:0019058,GO:0019068,GO:0019221,GO:0019985,GO:0030512,GO:0030666,GO:0031145,GO:0031398,GO:0031982,GO:0033683,GO:0035666,GO:0036297,GO:0042276,GO:0042769,GO:0043005,GO:0043025,GO:0043065,GO:0043066,GO:0043488,GO:0043657,GO:0044267,GO:0045944,GO:0047497,GO:0048812,GO:0051092,GO:0051403,GO:0051881,GO:0055085,GO:0061024,GO:0061136,GO:0061418,GO:0070062,GO:0070423,GO:0070498,GO:0070911,GO:0070987,GO:0075733,GO:1901214,GO:1902255,GO:1902527
P04040	5000	5000	GO:0000302,GO:0001649,GO:0001657,GO:0001666,GO:0004046,GO:0004096,GO:0005102,GO:0005576,GO:0005739,GO:0005758,GO:0005764,GO:0005777,GO:0005778,GO:0005782,GO:0005783,GO:0005794,GO:0005829,GO:0005886,GO:0005925,GO:0006625,GO:0006641,GO:0007568,GO:0008203,GO:0009060,GO:0009642,GO:0009650,GO:0010193,GO:0010288,GO:0014068,GO:0014823,GO:0014854,GO:0016020,GO:0016209,GO:0016684,GO:0019899,GO:0020027,GO:0020037,GO:0032088,GO:0032355,GO:0032868,GO:0033189,GO:0033197,GO:0033591,GO:0034599,GO:0034774,GO:0042542,GO:0042744,GO:0042802,GO:0042803,GO:0043066,GO:0043231,GO:0043312,GO:0045471,GO:0046686,GO:0046872,GO:0050661,GO:0051092,GO:0051262,GO:0051289,GO:0051781,GO:0055093,GO:0070062,GO:0070542,GO:0071363,GO:0080184,GO:1904813
P00167	5000	5000	GO:0004033,GO:0004129,GO:0005741,GO:0005789,GO:0005829,GO:0016020,GO:0016021,GO:0019852,GO:0019899,GO:0020037,GO:0043231,GO:0046686,GO:0046872
