id	name	namespace	ups1_mean	ups2_mean	ups1_amount_fmol	ups2_amount_fmol	ups1_amount_fmol_n_peptide	ups2_amount_fmol_n_peptide	ups1_amount_fmol_n_samp_children	ups2_amount_fmol_n_samp_children
GO:0000003	reproduction	biological_process	12.287712379549449	15.609640474436812	12.287712379549449	15.609640474436812	1	1	1.0	1.0
GO:0000041	transition metal ion transport	biological_process	14.287712379549449	5.807354922057604	14.287712379549449	5.807354922057604	4	4	1.0	1.0
GO:0000060	protein import into nucleus, translocation	biological_process	13.287712379549449	2.4594316186372973	13.287712379549449	2.4594316186372973	2	2	NA	NA
GO:0000075	cell cycle checkpoint	biological_process	12.287712379549449	2.321928094887362	12.287712379549449	2.321928094887362	1	1	1.0	1.0
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	12.287712379549449	5.643856189774724	12.287712379549449	5.643856189774724	1	1	1.0	1.0
GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	15.45763738099176	16.68900834456053	15.45763738099176	16.68900834456053	9	9	1.0	1.0
GO:0000139	Golgi membrane	cellular_component	14.287712379549449	9.240791332161956	14.287712379549449	9.240791332161956	4	4	NA	NA
GO:0000151	ubiquitin ligase complex	cellular_component	13.872674880270605	3.9068905956085187	13.872674880270605	3.9068905956085187	3	3	2.0	2.0
GO:0000152	nuclear ubiquitin ligase complex	cellular_component	12.287712379549449	2.321928094887362	12.287712379549449	2.321928094887362	1	1	1.0	1.0
GO:0000159	protein phosphatase type 2A complex	cellular_component	12.287712379549449	2.321928094887362	12.287712379549449	2.321928094887362	1	1	NA	NA
GO:0000165	MAPK cascade	biological_process	14.872674880270605	15.748730090540773	14.872674880270605	15.748730090540773	6	6	2.0	2.0
GO:0000166	nucleotide binding	molecular_function	16.811274335606463	13.29634268469289	16.811274335606463	13.29634268469289	23	23	4.0	4.0
GO:0000185	activation of MAPKKK activity	biological_process	12.287712379549449	-1.0	12.287712379549449	-1.0	1	1	NA	NA
GO:0000186	activation of MAPKK activity	biological_process	12.287712379549449	12.287712379549449	12.287712379549449	12.287712379549449	1	1	NA	NA
GO:0000187	activation of MAPK activity	biological_process	14.872674880270605	16.6801122396895	14.872674880270605	16.6801122396895	6	6	1.0	1.0
GO:0000209	protein polyubiquitination	biological_process	14.287712379549449	15.610073218040784	14.287712379549449	15.610073218040784	4	4	2.0	2.0
GO:0000226	microtubule cytoskeleton organization	biological_process	13.287712379549449	NA	13.287712379549449	0.0	2	2	2.0	2.0
GO:0000302	response to reactive oxygen species	biological_process	15.747143998186747	16.931643587515843	15.747143998186747	16.931643587515843	11	11	4.0	4.0
GO:0000303	response to superoxide	biological_process	12.287712379549449	-1.0	12.287712379549449	-1.0	1	1	NA	NA
GO:0000305	response to oxygen radical	biological_process	12.287712379549449	-1.0	12.287712379549449	-1.0	1	1	1.0	1.0
GO:0000323	lytic vacuole	cellular_component	13.287712379549449	12.287856641840545	13.287712379549449	12.287856641840545	2	2	1.0	1.0
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	12.287712379549449	12.287712379549449	12.287712379549449	12.287712379549449	1	1	NA	NA
GO:0000715	nucleotide-excision repair, DNA damage recognition	biological_process	12.287712379549449	15.609640474436812	12.287712379549449	15.609640474436812	1	1	NA	NA
GO:0000726	non-recombinational repair	biological_process	12.287712379549449	12.287712379549449	12.287712379549449	12.287712379549449	1	1	1.0	1.0
GO:0000731	DNA synthesis involved in DNA repair	biological_process	13.287712379549449	16.609640474436812	13.287712379549449	16.609640474436812	2	2	1.0	1.0
