uniprot_accession	ups1_amount_fmol	ups2_amount_fmol
P00915	5000	50000
P00918	5000	50000
P01031	5000	50000
P69905	5000	50000
P68871	5000	50000
P41159	5000	50000
P02768	5000	50000
P62988	5000	50000
P04040	5000	5000
P00167	5000	5000
P01133	5000	5000
P02144	5000	5000
P15559	5000	5000
P62937	5000	5000
Q06830	5000	5000
P63165	5000	5000
P00709	5000	500
P06732	5000	500
P12081	5000	500
P61626	5000	500
Q15843	5000	500
P02753	5000	500
P16083	5000	500
P63279	5000	500
P01008	5000	50
P61769	5000	50
P55957	5000	50
O76070	5000	50
P08263	5000	50
P01344	5000	50
P01127	5000	50
P10599	5000	50
P99999	5000	5
P06396	5000	5
P09211	5000	5
P01112	5000	5
P01579	5000	5
P02787	5000	5
O00762	5000	5
P51965	5000	5
P08758	5000	0.5
P02741	5000	0.5
P05413	5000	0.5
P10145	5000	0.5
P02788	5000	0.5
P10636-8	5000	0.5
P00441	5000	0.5
P01375	5000	0.5
