id	name	namespace	NS_mean	WS_mean	X730NS	X730WS	X733NS	X733WS	X734NS	X734WS	X737NS	X737WS	X760NS	X760WS	X769NS	X769WS	X781NS	X781WS	X795NS	X795WS	X852NS	X852WS	X861NS	X861WS	X866NS	X866WS	X867NS	X867WS	X730NS_n_peptide	X730WS_n_peptide	X733NS_n_peptide	X733WS_n_peptide	X734NS_n_peptide	X734WS_n_peptide	X737NS_n_peptide	X737WS_n_peptide	X760NS_n_peptide	X760WS_n_peptide	X769NS_n_peptide	X769WS_n_peptide	X781NS_n_peptide	X781WS_n_peptide	X795NS_n_peptide	X795WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X861NS_n_peptide	X861WS_n_peptide	X866NS_n_peptide	X866WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X730NS_n_samp_children	X730WS_n_samp_children	X733NS_n_samp_children	X733WS_n_samp_children	X734NS_n_samp_children	X734WS_n_samp_children	X737NS_n_samp_children	X737WS_n_samp_children	X760NS_n_samp_children	X760WS_n_samp_children	X769NS_n_samp_children	X769WS_n_samp_children	X781NS_n_samp_children	X781WS_n_samp_children	X795NS_n_samp_children	X795WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X861NS_n_samp_children	X861WS_n_samp_children	X866NS_n_samp_children	X866WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
GO:0000002	mitochondrial genome maintenance	biological_process	19.111918676770177	14.966142744566472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.028630637550606	12.63481687990147	NA	NA	NA	NA	18.279150760020386	NA	20.087620026575784	15.815180078915299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	1.0	NA	2.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000003	reproduction	biological_process	19.434240307435285	20.23041847369563	20.047787576956924	19.64791323757413	21.900354749989553	21.61534034811174	16.107456640301535	19.707789972635133	18.59438010021706	20.43267074464201	18.576709524488507	21.396123322056155	18.97966613912296	18.544215550938603	18.288976295415235	20.009135520280665	16.51649271100855	17.810766415322544	16.921136398836342	20.306117010959035	19.26380303300509	20.219073643490137	19.520135039723	14.894569679757959	17.672663922948814	20.498672924887956	1.0	1.0	10.0	10.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000012	single strand break repair	biological_process	18.37221981337091	19.253766059750255	19.239757490698857	15.149596379710806	NA	NA	NA	NA	NA	NA	15.861382965294071	20.211200597829745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000015	phosphopyruvate hydratase complex	cellular_component	29.391322914997488	30.143397341089283	29.562484829641694	29.506325678622517	30.44475495837588	30.304528919473277	28.963420668993898	30.066088589004593	28.688462774888173	30.330077012232312	29.4879933456294	30.219141494415602	29.011022921232588	29.55728937888911	29.882523532970577	30.197405725737628	28.966315894321674	30.372090019569814	29.123950660350584	30.265960085486224	29.564131421658605	30.47022744673249	28.481161373038727	29.82611581492384	29.336393036522054	30.250940196412557	120.0	90.0	143.0	142.0	140.0	139.0	194.0	164.0	167.0	154.0	120.0	100.0	190.0	151.0	156.0	150.0	176.0	177.0	163.0	153.0	152.0	125.0	144.0	157.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000018	regulation of DNA recombination	biological_process	21.51109678567257	22.05057176053714	20.596676538678345	21.760370682370098	19.743642066612022	21.342424439448262	21.10073117580293	19.869860998976357	22.13558828302651	22.57314925720964	21.75775656409255	21.03261152965847	21.45139976554551	23.361278374780863	22.24372259595946	22.56016778832808	21.777687786099417	21.935441454830983	21.403271437096922	21.185215805248138	21.3166681818578	18.478991056905077	20.771615424349967	22.669142696889505	22.067120868315158	22.559761664031313	9.0	10.0	7.0	11.0	11.0	6.0	19.0	11.0	18.0	12.0	21.0	21.0	20.0	14.0	13.0	11.0	19.0	19.0	3.0	3.0	16.0	23.0	22.0	12.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000023	maltose metabolic process	biological_process	14.485458353329609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.485458353329609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0000025	maltose catabolic process	biological_process	14.485458353329609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.485458353329609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000026	alpha-1,2-mannosyltransferase activity	molecular_function	18.817412559956452	NA	NA	NA	NA	NA	18.817412559956452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000027	ribosomal large subunit assembly	biological_process	28.421291586405186	28.653303819565437	28.32067275795664	28.22745513218825	27.930216193243204	28.356105257644902	27.74689067081978	28.820740054860703	28.45403683653417	28.268005190881606	28.432806050394763	28.991977940189166	28.396746317814415	28.63667158165512	28.84285512231741	29.070335280698572	28.04922537015759	28.592916426393288	29.17453101924244	28.719887761633807	28.206360415111977	28.449556056916617	28.645997396872243	28.66869037033008	28.2489916586362	28.763697661150545	71.0	55.0	114.0	156.0	87.0	76.0	104.0	83.0	106.0	94.0	103.0	66.0	141.0	115.0	89.0	64.0	158.0	147.0	113.0	92.0	129.0	87.0	100.0	88.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000028	ribosomal small subunit assembly	biological_process	28.345355790869963	28.106613019283277	27.75961816860811	27.734750870826304	28.120408040641358	28.618040287930086	27.872362520380197	27.86401973390516	28.085287331319098	27.551757651691965	27.890466004867186	28.012069554429367	27.610119645627893	27.45008247793257	28.34120163179259	28.339167553418037	27.845397163636733	28.167127321813208	29.843199281924434	28.514392082503512	28.3043728471759	28.11400524759637	28.68480308236142	28.227002222726558	28.070520836585274	28.201899149462065	62.0	45.0	98.0	141.0	76.0	62.0	92.0	69.0	74.0	61.0	68.0	46.0	133.0	111.0	74.0	54.0	163.0	155.0	93.0	67.0	91.0	60.0	69.0	67.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000030	mannosyltransferase activity	molecular_function	18.313401738999392	19.08467790777021	NA	NA	12.464929833193523	14.78279425118157	19.817412559956452	NA	18.248963793928024	15.949424742960353	17.176943133643388	NA	NA	NA	17.709898106246484	21.045502419334596	18.756962517078353	19.178347719300657	NA	NA	NA	NA	NA	17.61820343207402	17.83352770952882	18.12366511142702	NA	NA	1.0	1.0	2.0	NA	2.0	1.0	1.0	NA	NA	NA	1.0	3.0	1.0	3.0	NA	NA	NA	NA	NA	1.0	2.0	1.0	NA	NA	1.0	1.0	2.0	NA	1.0	1.0	1.0	NA	NA	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	1.0	1.0	1.0
GO:0000032	cell wall mannoprotein biosynthetic process	biological_process	16.403018110955678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.403018110955678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000034	adenine deaminase activity	molecular_function	17.80425686615254	20.229893045189968	18.314941905512914	NA	NA	NA	NA	NA	NA	NA	NA	17.15302276207326	18.988250899732105	16.35706744471605	NA	NA	15.94741295488914	22.13251617741788	12.601073581603625	16.479447125398167	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	2.0	2.0	NA	NA	1.0	1.0	1.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000035	acyl binding	molecular_function	25.7069889007865	25.296752585176872	25.833415638423066	25.346432008232117	21.630780803719453	21.417036743556395	25.606150038036308	26.63847642528291	26.054661819697202	26.562329177017297	26.11812180043722	25.960546650457136	24.003254422156665	23.71237876019202	25.41622580838162	22.310690459764917	26.294922834768066	25.707161383486216	27.132332549472988	25.706687150107282	22.408658919954444	22.4672371811259	25.10656175068891	24.543122234004475	26.017163039104	24.361235883469078	5.0	3.0	2.0	3.0	7.0	3.0	6.0	5.0	5.0	4.0	5.0	3.0	4.0	4.0	8.0	5.0	7.0	6.0	4.0	2.0	7.0	3.0	6.0	5.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000036	acyl carrier activity	molecular_function	26.78471911303387	26.951286546667678	27.46527831763878	26.89459537913141	25.175489903605122	25.160145573164233	26.551892849234196	27.717373213603466	26.62007078275746	27.500603569840106	26.95833605505795	28.026555132552325	26.426158703887868	26.80570089750057	26.435748200093496	25.864484619128262	27.055984150008072	27.141460715095832	27.73215993107616	26.910545901237576	26.33627287815186	26.19245289290662	26.212895020958253	26.059604048789726	26.912316496512446	26.734700993196004	28.0	23.0	21.0	26.0	31.0	27.0	31.0	27.0	29.0	24.0	26.0	21.0	29.0	27.0	29.0	20.0	28.0	27.0	29.0	29.0	25.0	18.0	25.0	22.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000038	very long-chain fatty acid metabolic process	biological_process	19.978130229821048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.978130229821048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
GO:0000041	transition metal ion transport	biological_process	27.200894874208213	24.75723464497024	25.38015625954273	21.6093360268159	23.47726548770081	23.764746565425018	28.059150471285452	25.034747613281503	26.665057298749886	23.277567162422635	27.38328250097705	25.88512568181566	27.396533606530188	23.995134906511176	26.243381447214766	24.865173563078617	26.70259312607001	24.655547936381204	25.47650975419706	23.367003583857258	27.63272373665651	24.1518354216399	28.297310481409774	25.12985494059471	28.085259723467328	26.187916342703268	21.0	14.0	17.0	25.0	55.0	33.0	63.0	50.0	59.0	44.0	53.0	39.0	47.0	31.0	30.0	11.0	34.0	28.0	65.0	40.0	68.0	38.0	45.0	42.0	3.0	3.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	5.0	3.0	4.0	3.0	5.0	5.0
GO:0000045	autophagosome assembly	biological_process	17.008383846008098	17.32143659831607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.32143659831607	NA	NA	NA	NA	17.008383846008098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000049	tRNA binding	molecular_function	30.16887995154851	30.510924616794185	30.065727318926545	29.950870468194477	30.049267542327353	30.396775188946304	29.688257326159025	30.300631989696956	30.300998518844217	30.30002796384356	30.235389720724076	30.56686686498461	29.997054256757274	30.234898706374093	30.639349921582273	30.975377733056646	29.683234731747927	30.427796640404523	30.56898928081319	30.6159572282919	30.056316109160374	30.573511642554365	30.3526727666953	30.887747052525715	30.050066259047377	30.597567982279447	632.0	480.0	573.0	626.0	724.0	699.0	903.0	755.0	974.0	838.0	755.0	528.0	1086.0	921.0	707.0	711.0	930.0	863.0	781.0	715.0	970.0	805.0	802.0	791.0	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000050	urea cycle	biological_process	26.627695836949584	25.15571193152097	27.48779647796249	24.59497457432974	27.735691870216804	25.363178384302273	25.687755615306365	24.91445234461251	26.342458006395322	25.680792983732218	26.46498401732768	26.474149562625467	26.297801669517362	23.782312801739383	26.6815429510786	24.147398106233837	26.60879855084577	24.516176660469487	25.571275982096324	25.487999605288948	26.954058288909224	25.90104898486307	25.508251415817476	20.073639630428957	26.266679551071842	25.00127478311146	10.0	8.0	12.0	13.0	36.0	17.0	34.0	16.0	33.0	18.0	32.0	14.0	40.0	22.0	26.0	11.0	15.0	16.0	20.0	19.0	23.0	8.0	47.0	30.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000053	argininosuccinate metabolic process	biological_process	21.183706965435196	18.650257999579388	17.108770944224243	NA	NA	NA	21.28895581200681	19.548147629201548	19.245998275978668	17.041611351202896	22.054233382224673	20.29288179176948	20.312582950249748	13.630350065604588	19.40140057081409	16.391872135199453	21.09879461797558	14.78836222822471	18.386499754504793	15.191476550464532	22.16150980122541	17.34118255409241	20.227889629816236	14.014803416062874	22.93494078975372	20.5925116400548	1.0	NA	NA	NA	6.0	3.0	3.0	3.0	8.0	7.0	4.0	1.0	4.0	1.0	4.0	1.0	2.0	1.0	5.0	4.0	4.0	1.0	8.0	8.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000054	ribosomal subunit export from nucleus	biological_process	22.915186089190144	17.28910540618234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.915186089190144	17.28910540618234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	5.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0000056	ribosomal small subunit export from nucleus	biological_process	22.915186089190144	17.28910540618234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.915186089190144	17.28910540618234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	5.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000062	fatty-acyl-CoA binding	molecular_function	18.674138247994836	17.05824873451305	NA	NA	NA	NA	17.711307399977258	13.42897481939357	17.974109412838462	NA	18.676521888458915	17.2332969417921	18.21824069628038	NA	NA	NA	16.533652475990138	NA	19.330651428383305	14.294619750791046	19.80440161259639	17.91559931429074	19.333035591977147	18.193956159899003	17.862530742464244	16.400714707131225	NA	NA	NA	NA	3.0	1.0	1.0	NA	2.0	2.0	4.0	NA	NA	NA	2.0	NA	2.0	2.0	4.0	2.0	5.0	3.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000064	L-ornithine transmembrane transporter activity	molecular_function	21.420086099817052	19.560311257280947	19.257410353351588	NA	NA	NA	16.823871906464625	19.788745982429887	22.02877571777529	19.299287950162718	21.170124414312802	20.006132317467213	22.94362601609723	19.267828072891238	NA	NA	21.274880975580317	19.571527082430205	22.21217105198503	16.49127182591185	21.121072186594734	NA	20.62028053516242	NA	20.335436426665165	20.315961926678888	1.0	NA	NA	NA	1.0	1.0	2.0	3.0	2.0	1.0	7.0	2.0	NA	NA	3.0	2.0	2.0	2.0	5.0	NA	3.0	NA	3.0	3.0	1.0	NA	NA	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0
GO:0000075	cell cycle checkpoint	biological_process	13.526544818400817	18.165496377144933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.526544818400817	18.165496377144933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000077	DNA damage checkpoint	biological_process	NA	17.61724859678004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.61724859678004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000096	sulfur amino acid metabolic process	biological_process	28.337154136225784	28.13723696905607	26.690689642514847	27.619934160657895	26.8974248282853	27.865746364325872	28.761283156745254	27.90472544324102	29.524329433068424	27.759080447738572	28.431090277074848	28.111521012388362	28.434678980151997	28.057217363973596	28.804804412249727	28.59307998910584	27.969808279177126	28.052536865876412	27.70864748297736	28.461413649477432	26.581009314944737	27.830302805946857	28.558830954458823	28.77029643634568	28.703255995507718	28.13462020352959	268.0	252.0	338.0	383.0	361.0	401.0	457.0	400.0	490.0	440.0	465.0	332.0	547.0	514.0	306.0	397.0	464.0	463.0	410.0	399.0	480.0	455.0	471.0	507.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	27.250355882149652	26.727370491859876	25.506875886980843	26.17496210387679	25.762478345327814	26.643716167786227	27.715807243168086	26.195225940122818	28.4661130640968	26.199416485516313	27.34270710545712	26.72197773636234	27.38678212846349	26.73681196952509	27.734293094835117	27.31845610342882	26.837384754408262	26.68641116812381	26.26453153382229	27.01745642362126	25.49508597764524	26.559768069514565	27.4970692311085	27.183643178518636	27.67136940448238	26.76037602312307	112.0	102.0	143.0	157.0	161.0	161.0	207.0	169.0	220.0	188.0	204.0	135.0	240.0	218.0	135.0	167.0	197.0	194.0	178.0	169.0	214.0	187.0	215.0	223.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0
GO:0000098	sulfur amino acid catabolic process	biological_process	20.712544598661673	24.683898824549118	22.308266188175203	24.383897342506458	20.443430913261867	23.105703949980807	19.82547060582613	25.215067921804113	17.977996661173428	24.743667485823117	19.79145857247737	24.659115767362657	19.13942131550254	23.83767287319228	22.063583259661105	24.62155647708178	19.931434889449754	24.3850185887394	21.38788339540433	25.112726955810636	18.96940087340689	23.784416617895577	20.743688502534503	25.928210860089482	19.82937176647182	24.36984380699497	13.0	13.0	13.0	17.0	11.0	21.0	11.0	21.0	9.0	13.0	10.0	11.0	19.0	21.0	10.0	18.0	14.0	16.0	12.0	16.0	13.0	20.0	9.0	18.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
