id	taxon_name	rank	NS_mean	WS_mean	X730NS	X730WS	X733NS	X733WS	X734NS	X734WS	X737NS	X737WS	X760NS	X760WS	X769NS	X769WS	X781NS	X781WS	X795NS	X795WS	X852NS	X852WS	X861NS	X861WS	X866NS	X866WS	X867NS	X867WS	X730NS_n_peptide	X730WS_n_peptide	X733NS_n_peptide	X733WS_n_peptide	X734NS_n_peptide	X734WS_n_peptide	X737NS_n_peptide	X737WS_n_peptide	X760NS_n_peptide	X760WS_n_peptide	X769NS_n_peptide	X769WS_n_peptide	X781NS_n_peptide	X781WS_n_peptide	X795NS_n_peptide	X795WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X861NS_n_peptide	X861WS_n_peptide	X866NS_n_peptide	X866WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X730NS_n_samp_children	X730WS_n_samp_children	X733NS_n_samp_children	X733WS_n_samp_children	X734NS_n_samp_children	X734WS_n_samp_children	X737NS_n_samp_children	X737WS_n_samp_children	X760NS_n_samp_children	X760WS_n_samp_children	X769NS_n_samp_children	X769WS_n_samp_children	X781NS_n_samp_children	X781WS_n_samp_children	X795NS_n_samp_children	X795WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X861NS_n_samp_children	X861WS_n_samp_children	X866NS_n_samp_children	X866WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
6	Azorhizobium	genus	NA	20.32269614681881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.32269614681881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	Simonsiella	genus	23.07927958945222	17.719221539132796	NA	17.588310473005563	NA	NA	16.9857032618487	14.182624524077665	21.33555280515799	18.070247112681397	19.244299978193293	NA	14.181750236799438	NA	25.95464953270346	NA	18.280525695241025	NA	20.596189838450957	14.907956983159131	NA	15.854240270455772	NA	NA	19.06502919976183	19.44522733590146	NA	1.0	NA	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	NA	1.0	NA	1.0	NA	2.0	1.0	NA	1.0	NA	NA	1.0	1.0	NA	1.0	NA	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	NA	1.0	NA	1.0	NA	1.0	1.0	NA	1.0	NA	NA	1.0	1.0
72	Simonsiella muelleri	species	23.07927958945222	17.719221539132796	NA	17.588310473005563	NA	NA	16.9857032618487	14.182624524077665	21.33555280515799	18.070247112681397	19.244299978193293	NA	14.181750236799438	NA	25.95464953270346	NA	18.280525695241025	NA	20.596189838450957	14.907956983159131	NA	15.854240270455772	NA	NA	19.06502919976183	19.44522733590146	NA	1.0	NA	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	NA	1.0	NA	1.0	NA	2.0	1.0	NA	1.0	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	Caulobacter	genus	18.89218171099655	20.451051719745806	NA	NA	18.89218171099655	20.451051719745806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	Hyphomicrobium	genus	16.651269913349303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.651269913349303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
136	Spirochaetales	order	22.4592368471399	23.251641665456617	21.782210465654984	22.293663201701616	19.50647484706686	18.39338967925424	21.31060467932299	21.728055628093554	20.480986062363687	22.602867980613627	23.203993721974225	23.566696765176243	22.313857374707805	25.335612959036755	24.564206593926965	23.758132985051397	21.865153582932074	21.378622826723475	22.004619704258204	23.013302901317108	21.929889350172612	22.77047366650371	22.145836211855425	22.48273070674269	22.080359413733433	23.436551973678235	9.0	3.0	2.0	2.0	6.0	11.0	8.0	10.0	10.0	10.0	7.0	5.0	15.0	9.0	4.0	6.0	8.0	13.0	12.0	6.0	5.0	5.0	14.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
137	Spirochaetaceae	family	22.4592368471399	23.251641665456617	21.782210465654984	22.293663201701616	19.50647484706686	18.39338967925424	21.31060467932299	21.728055628093554	20.480986062363687	22.602867980613627	23.203993721974225	23.566696765176243	22.313857374707805	25.335612959036755	24.564206593926965	23.758132985051397	21.865153582932074	21.378622826723475	22.004619704258204	23.013302901317108	21.929889350172612	22.77047366650371	22.145836211855425	22.48273070674269	22.080359413733433	23.436551973678235	9.0	3.0	2.0	2.0	6.0	11.0	8.0	10.0	10.0	10.0	7.0	5.0	15.0	9.0	4.0	6.0	8.0	13.0	12.0	6.0	5.0	5.0	14.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
157	Treponema	genus	22.4592368471399	23.251641665456617	21.782210465654984	22.293663201701616	19.50647484706686	18.39338967925424	21.31060467932299	21.728055628093554	20.480986062363687	22.602867980613627	23.203993721974225	23.566696765176243	22.313857374707805	25.335612959036755	24.564206593926965	23.758132985051397	21.865153582932074	21.378622826723475	22.004619704258204	23.013302901317108	21.929889350172612	22.77047366650371	22.145836211855425	22.48273070674269	22.080359413733433	23.436551973678235	9.0	3.0	2.0	2.0	6.0	11.0	8.0	10.0	10.0	10.0	7.0	5.0	15.0	9.0	4.0	6.0	8.0	13.0	12.0	6.0	5.0	5.0	14.0	8.0	5.0	2.0	2.0	1.0	4.0	6.0	4.0	4.0	5.0	5.0	4.0	2.0	4.0	3.0	3.0	1.0	4.0	3.0	5.0	3.0	3.0	2.0	6.0	4.0
158	Treponema denticola	species	19.287795895591405	19.43457399736046	NA	18.8252862501482	NA	NA	NA	19.428979542059405	13.797270605055505	19.018597139217498	19.354118605445677	19.893941584079496	NA	NA	NA	19.899721407076328	18.6247095002607	NA	20.45727835186084	20.23648760100284	13.046793673854316	NA	NA	16.113060718218208	20.313998156657696	NA	NA	1.0	NA	NA	NA	1.0	1.0	1.0	1.0	2.0	NA	NA	NA	1.0	1.0	NA	1.0	3.0	1.0	NA	NA	1.0	3.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	Treponema pallidum	species	17.395480034568912	18.312151130003937	17.395480034568912	NA	NA	NA	NA	15.929946990630466	NA	NA	NA	19.088994453762666	NA	18.44282644825757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
162	Treponema phagedenis	species	18.38943279089912	NA	NA	NA	NA	NA	17.43337262541108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.95944616997024	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Leptospirillum	genus	18.150074275948672	NA	18.150074275948672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
194	Campylobacter	genus	22.737726781977898	23.402014527754694	19.374983778535537	20.606446832930114	22.374052312423657	22.175914745445667	20.710711088017703	21.49772006038844	21.935778024142902	21.360868814816584	19.67510328882646	18.442382745355207	21.218188025675918	18.982493726661477	25.95861986611441	24.365465047288765	19.540072068600086	22.27121158049472	17.998259192791757	26.353858284366474	18.911902395646823	20.23323912638554	19.833611625681492	19.261402979800618	20.129527247691183	22.479579021998745	3.0	5.0	2.0	5.0	2.0	7.0	25.0	5.0	7.0	4.0	17.0	3.0	209.0	8.0	4.0	9.0	4.0	8.0	3.0	5.0	7.0	4.0	7.0	6.0	2.0	2.0	2.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	2.0	4.0	4.0	2.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0	2.0	4.0
199	Campylobacter concisus	species	18.509716654857577	16.94986542769167	NA	NA	NA	12.919955795030818	NA	15.671655292558322	NA	NA	19.299158769094483	18.02758070053033	18.2078078170372	NA	NA	NA	15.668363447603513	16.61057563998345	NA	NA	NA	NA	19.378931526574434	NA	17.49293357441836	17.650619857094615	NA	NA	NA	1.0	NA	1.0	NA	NA	3.0	3.0	2.0	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	4.0	NA	2.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
200	Campylobacter curvus	species	18.168557904102894	18.220251174046176	16.26733245493438	19.284583522907923	19.500142772497167	NA	NA	17.943697867945176	NA	17.561603718446303	17.016690915094735	16.44167615134199	NA	NA	13.791124582859076	15.67687437930337	17.56316010147743	19.210663936853738	NA	NA	17.793427927362014	NA	NA	NA	19.363283373481167	NA	1.0	1.0	1.0	NA	NA	2.0	NA	1.0	1.0	1.0	NA	NA	1.0	1.0	2.0	3.0	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
203	Campylobacter rectus	species	22.16245983296661	17.962358062475076	NA	NA	22.16245983296661	NA	NA	NA	NA	19.556875463859626	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.35957633458742	NA	NA	NA	15.071870407512963	NA	15.541338774803014	NA	NA	1.0	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
