id	name	namespace	log2fc_WS_over_NS	corrected_p
GO:0016781	phosphotransferase activity, paired acceptors	molecular_function	-4.05185988435125	0.0302924433091839
GO:0009279	cell outer membrane	cellular_component	-3.95044335185009	0.000615989094755088
GO:0005829	cytosol	cellular_component	-3.82040735406208	0.000823616858462386
GO:0016846	carbon-sulfur lyase activity	molecular_function	-3.66928098625279	0.00513492886604168
GO:0031090	organelle membrane	cellular_component	-3.55887427534031	0.00842936794914793
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity	molecular_function	-3.44149075807132	0.00247772998253612
GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity	molecular_function	-3.22815515545544	0.00112059706483677
GO:0046656	folic acid biosynthetic process	biological_process	-3.18138439174872	0.0413122970375614
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	biological_process	-3.12708788958464	0.00658028058173532
GO:0016833	oxo-acid-lyase activity	molecular_function	-3.1091886233353	0.000509964303303526
GO:0016841	ammonia-lyase activity	molecular_function	-3.09212806665015	0.000994107434538868
GO:0004329	formate-tetrahydrofolate ligase activity	molecular_function	-3.03498544743181	0.000648372570666835
GO:0016748	succinyltransferase activity	molecular_function	-3.02872957652619	0.0014703009603703
GO:0004611	phosphoenolpyruvate carboxykinase activity	molecular_function	-3.01403708623723	0.00137329121450799
GO:0009162	deoxyribonucleoside monophosphate metabolic process	biological_process	-2.98347835918874	0.00373713417338665
GO:0009176	pyrimidine deoxyribonucleoside monophosphate metabolic process	biological_process	-2.98347835918874	0.00373713417338665
GO:0008797	aspartate ammonia-lyase activity	molecular_function	-2.96529659308663	0.00310061387595462
GO:0004397	histidine ammonia-lyase activity	molecular_function	-2.95461006731143	0.000823616858462386
GO:0003911	DNA ligase (NAD+) activity	molecular_function	-2.91593912427766	0.00247772998253612
GO:0019563	glycerol catabolic process	biological_process	-2.86136847808693	0.00192447208815589
GO:0004370	glycerol kinase activity	molecular_function	-2.84606386115479	0.00316335177973848
GO:0042737	drug catabolic process	biological_process	-2.79399840407296	0.000700695943222678
GO:0005354	galactose transmembrane transporter activity	molecular_function	-2.78672705162553	0.00460358814376667
GO:0015980	energy derivation by oxidation of organic compounds	biological_process	-2.75766833993271	0.000549814523926751
GO:0046174	polyol catabolic process	biological_process	-2.75710571808623	0.00513492886604168
GO:1901505	carbohydrate derivative transmembrane transporter activity	molecular_function	-2.75330102994916	0.00691085602609396
GO:0008815	citrate (pro-3S)-lyase activity	molecular_function	-2.67131008279422	0.0152113508383221
GO:0020037	heme binding	molecular_function	-2.62306000705689	0.00513492886604168
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	molecular_function	-2.54867367819618	0.0233215865414736
GO:0006536	glutamate metabolic process	biological_process	-2.49229059543141	0.000615989094755088
GO:0043546	molybdopterin cofactor binding	molecular_function	-2.4898827623853	0.0127200843330212
GO:0052803	imidazole-containing compound metabolic process	biological_process	-2.4807674789112	0.000648372570666835
GO:0006547	histidine metabolic process	biological_process	-2.44034060299273	0.000648372570666835
GO:0009072	aromatic amino acid family metabolic process	biological_process	-2.42537267668245	0.000615989094755088
GO:0019556	histidine catabolic process to glutamate and formamide	biological_process	-2.40987208835902	0.000823616858462386
GO:0004618	phosphoglycerate kinase activity	molecular_function	-2.40691720652019	0.0034962517007695
GO:0006548	histidine catabolic process	biological_process	-2.39706470800528	0.000823616858462386
GO:0019557	histidine catabolic process to glutamate and formate	biological_process	-2.38537217839436	0.000995916034056434
GO:0004044	amidophosphoribosyltransferase activity	molecular_function	-2.31945544445185	0.0430929685104523
GO:0004029	aldehyde dehydrogenase (NAD) activity	molecular_function	-2.2842828360663	0.000823616858462386
GO:0035556	intracellular signal transduction	biological_process	-2.28340688885884	0.0193703825122098
GO:0004820	glycine-tRNA ligase activity	molecular_function	-2.26447067953081	0.0296764743763403
GO:0000160	phosphorelay signal transduction system	biological_process	-2.24494320213274	0.0169073840300135
GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor	molecular_function	-2.24260943829287	0.00604526818234147
GO:0046395	carboxylic acid catabolic process	biological_process	-2.22060618974746	0.000549814523926751
GO:0009063	cellular amino acid catabolic process	biological_process	-2.21174914625214	0.000549814523926751
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity	molecular_function	-2.18757484418828	0.00691085602609396
GO:0033218	amide binding	molecular_function	-2.16484578872613	0.0126928119751561
GO:0004775	succinate-CoA ligase (ADP-forming) activity	molecular_function	-2.11549158185472	0.0127200843330212
GO:0004794	L-threonine ammonia-lyase activity	molecular_function	-2.08049293234016	0.00495757257545857
GO:0008776	acetate kinase activity	molecular_function	-2.03011193459218	0.00691085602609396
GO:0008777	acetylornithine deacetylase activity	molecular_function	-2.01489617969481	0.00295875517403165
GO:0005887	integral component of plasma membrane	cellular_component	-1.9999615528749	0.0258776866229412
GO:0015407	monosaccharide-transporting ATPase activity	molecular_function	-1.98392783570511	0.00192447208815589
GO:0006099	tricarboxylic acid cycle	biological_process	-1.97945440199677	0.00604526818234147
GO:0004807	triose-phosphate isomerase activity	molecular_function	-1.97390412495087	0.0017224180636176
GO:0019294	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process	biological_process	-1.94877337601984	0.00545691139277856
GO:1901606	alpha-amino acid catabolic process	biological_process	-1.94615094926071	0.000509964303303526
GO:0009103	lipopolysaccharide biosynthetic process	biological_process	-1.94206943659292	0.00495757257545857
GO:0006085	acetyl-CoA biosynthetic process	biological_process	-1.9142629726601	0.0037265988146589
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	molecular_function	-1.88040145390655	0.00793157185129575
GO:0042558	pteridine-containing compound metabolic process	biological_process	-1.87940490613309	0.0337946694375303
GO:0016840	carbon-nitrogen lyase activity	molecular_function	-1.85215638270744	0.00316335177973848
GO:0006508	proteolysis	biological_process	-1.85037844966732	0.0200588659435302
GO:0016417	S-acyltransferase activity	molecular_function	-1.84661558370087	0.010994483948432
GO:0006760	folic acid-containing compound metabolic process	biological_process	-1.81433885254836	0.00691085602609396
GO:0004816	asparagine-tRNA ligase activity	molecular_function	-1.81043818463594	0.00513492886604168
GO:0016774	phosphotransferase activity, carboxyl group as acceptor	molecular_function	-1.80511915968208	0.00164570167486831
GO:0016408	C-acyltransferase activity	molecular_function	-1.79581014884782	0.000509964303303526
GO:1901565	organonitrogen compound catabolic process	biological_process	-1.74936025103828	0.000700695943222678
GO:0004586	ornithine decarboxylase activity	molecular_function	-1.73448108464635	0.0113815566599031
GO:0071616	acyl-CoA biosynthetic process	biological_process	-1.69424029972781	0.00691085602609396
GO:0006575	cellular modified amino acid metabolic process	biological_process	-1.68506906157243	0.0222917713223281
GO:0033866	nucleoside bisphosphate biosynthetic process	biological_process	-1.67140112494347	0.00793157185129575
GO:0034030	ribonucleoside bisphosphate biosynthetic process	biological_process	-1.67140112494347	0.00793157185129575
GO:0034033	purine nucleoside bisphosphate biosynthetic process	biological_process	-1.67140112494347	0.00793157185129575
GO:0009317	acetyl-CoA carboxylase complex	cellular_component	-1.64929688134282	0.00604526818234147
GO:0033926	glycopeptide alpha-N-acetylgalactosaminidase activity	molecular_function	-1.63463815445104	0.00793157185129575
GO:0019751	polyol metabolic process	biological_process	-1.62770220275822	0.0337946694375303
GO:0006402	mRNA catabolic process	biological_process	-1.60972134272317	0.00316335177973848
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	biological_process	-1.60774836000252	0.00793157185129575
GO:0004070	aspartate carbamoyltransferase activity	molecular_function	-1.55750864518976	0.00667960818611021
GO:0030983	mismatched DNA binding	molecular_function	-1.55558882554044	0.0267867110158644
GO:0008177	succinate dehydrogenase (ubiquinone) activity	molecular_function	-1.54802318679295	0.00723150362887456
GO:0016831	carboxy-lyase activity	molecular_function	-1.54613321736315	0.00793157185129575
GO:1904680	peptide transmembrane transporter activity	molecular_function	-1.53191550786126	0.0302924433091839
GO:0033865	nucleoside bisphosphate metabolic process	biological_process	-1.52336799862521	0.00604526818234147
GO:0035383	thioester metabolic process	biological_process	-1.51115818390678	0.00604526818234147
GO:0004654	polyribonucleotide nucleotidyltransferase activity	molecular_function	-1.49030234194671	0.00793157185129575
GO:0016453	C-acetyltransferase activity	molecular_function	-1.48863588848869	0.000509964303303526
GO:0043590	bacterial nucleoid	cellular_component	-1.48533932521067	0.0382842030814765
GO:0033875	ribonucleoside bisphosphate metabolic process	biological_process	-1.48462164194372	0.00604526818234147
GO:0034032	purine nucleoside bisphosphate metabolic process	biological_process	-1.48462164194372	0.00604526818234147
GO:0006435	threonyl-tRNA aminoacylation	biological_process	-1.45393104448829	0.0296764743763403
GO:0006637	acyl-CoA metabolic process	biological_process	-1.44595182104664	0.00604526818234147
GO:0006423	cysteinyl-tRNA aminoacylation	biological_process	-1.43800271474334	0.00604526818234147
GO:0008289	lipid binding	molecular_function	-1.43277404283692	0.0177859666468652
GO:0016071	mRNA metabolic process	biological_process	-1.41313105482358	0.00513492886604168
GO:0006426	glycyl-tRNA aminoacylation	biological_process	-1.41048600271133	0.0490180531003602
GO:0008838	diaminopropionate ammonia-lyase activity	molecular_function	-1.40905001269409	0.013626740473555
GO:0046653	tetrahydrofolate metabolic process	biological_process	-1.4090369245602	0.00316335177973848
GO:0004829	threonine-tRNA ligase activity	molecular_function	-1.40887957886784	0.0413122970375614
GO:0016999	antibiotic metabolic process	biological_process	-1.38250593045428	0.0037265988146589
GO:0006084	acetyl-CoA metabolic process	biological_process	-1.37587860165544	0.00691085602609396
GO:0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process	biological_process	-1.35944531472417	0.00937786982476395
GO:0019262	N-acetylneuraminate catabolic process	biological_process	-1.35210515981198	0.010994483948432
GO:0015145	monosaccharide transmembrane transporter activity	molecular_function	-1.34567009087727	0.0037265988146589
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	molecular_function	-1.26159544651239	0.000509964303303526
GO:0051536	iron-sulfur cluster binding	molecular_function	-1.25923181975968	0.00691085602609396
GO:0044282	small molecule catabolic process	biological_process	-1.2507772011075	0.000700695943222678
GO:0015101	organic cation transmembrane transporter activity	molecular_function	-1.24968564058593	0.00316335177973848
GO:0051539	4 iron, 4 sulfur cluster binding	molecular_function	-1.24347077925099	0.0147821985410162
GO:0006790	sulfur compound metabolic process	biological_process	-1.23917181211544	0.00937786982476395
GO:0042816	vitamin B6 metabolic process	biological_process	-1.23650181268589	0.0382842030814765
GO:0042819	vitamin B6 biosynthetic process	biological_process	-1.23650181268588	0.0382842030814765
GO:0016746	transferase activity, transferring acyl groups	molecular_function	-1.22154439410516	0.000509964303303526
GO:0019842	vitamin binding	molecular_function	-1.20914866513708	0.0382842030814765
GO:0044272	sulfur compound biosynthetic process	biological_process	-1.20094268238089	0.0193703825122098
GO:0010629	negative regulation of gene expression	biological_process	-1.19543715879005	0.00316335177973848
GO:0051537	2 iron, 2 sulfur cluster binding	molecular_function	-1.19115066376181	0.0145071343061256
GO:0006553	lysine metabolic process	biological_process	-1.18865244360878	0.0490180531003602
GO:0015203	polyamine transmembrane transporter activity	molecular_function	-1.16258152633271	0.00691085602609396
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	-1.1617642176567	0.00691085602609396
GO:0019213	deacetylase activity	molecular_function	-1.1611776711535	0.0430929685104523
GO:0008519	ammonium transmembrane transporter activity	molecular_function	-1.15491995694942	0.00164570167486831
GO:0035999	tetrahydrofolate interconversion	biological_process	-1.14403583706502	0.00270995236456651
GO:1990234	transferase complex	cellular_component	-1.12552139382413	0.0126928119751561
GO:0008712	ADP-glyceromanno-heptose 6-epimerase activity	molecular_function	-1.11923405586754	0.0267867110158644
GO:0008861	formate C-acetyltransferase activity	molecular_function	-1.11613677277006	0.000994107434538868
GO:0016407	acetyltransferase activity	molecular_function	-1.10391926822589	0.000509964303303526
GO:0031406	carboxylic acid binding	molecular_function	-1.09236034816102	0.00226962648510339
GO:0015595	spermidine-importing ATPase activity	molecular_function	-1.08479200885836	0.00793157185129575
GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity	molecular_function	-1.0749456556315	0.0296764743763403
GO:0015417	polyamine-transporting ATPase activity	molecular_function	-1.06935501998522	0.00937786982476395
GO:0015594	putrescine-importing ATPase activity	molecular_function	-1.04829018132626	0.0126928119751561
GO:0005525	GTP binding	molecular_function	-1.03387648169937	0.00226962648510339
GO:0001882	nucleoside binding	molecular_function	-1.02218090885879	0.00226962648510339
GO:0006782	protoporphyrinogen IX biosynthetic process	biological_process	-1.0196025111462	0.047158686933635
GO:0004802	transketolase activity	molecular_function	-1.0166201006222	0.0147821985410162
GO:0046906	tetrapyrrole binding	molecular_function	-1.01485458736379	0.0363667579668978
GO:0042286	glutamate-1-semialdehyde 2,1-aminomutase activity	molecular_function	-1.00949777610231	0.0413122970375614
GO:0046983	protein dimerization activity	molecular_function	-1.00891583892603	0.0222917713223281
GO:0043648	dicarboxylic acid metabolic process	biological_process	-0.997740323661152	0.00937786982476395
GO:0022884	macromolecule transmembrane transporter activity	molecular_function	-0.968421965646208	0.047158686933635
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	molecular_function	-0.884992092043763	0.0430929685104523
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	molecular_function	-0.879877078977337	0.0430929685104523
GO:0016829	lyase activity	molecular_function	-0.867126436547608	0.00316335177973848
GO:0004252	serine-type endopeptidase activity	molecular_function	-0.848057494184452	0.0258776866229412
GO:0043171	peptide catabolic process	biological_process	-0.845009301315148	0.0296764743763403
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	molecular_function	-0.836451319257634	0.0193703825122098
GO:0010605	negative regulation of macromolecule metabolic process	biological_process	-0.817250318962493	0.0147821985410162
GO:0008878	glucose-1-phosphate adenylyltransferase activity	molecular_function	-0.807951991090356	0.0337946694375303
GO:0005198	structural molecule activity	molecular_function	-0.785145716334934	0.0126928119751561
GO:0004312	fatty acid synthase activity	molecular_function	-0.770525445301477	0.0382842030814765
GO:0043603	cellular amide metabolic process	biological_process	-0.768876979371463	0.010994483948432
GO:0016830	carbon-carbon lyase activity	molecular_function	-0.747789853406086	0.00793157185129575
GO:0008236	serine-type peptidase activity	molecular_function	-0.737879841817989	0.0430929685104523
GO:0043604	amide biosynthetic process	biological_process	-0.732844995617072	0.0147821985410162
GO:0051172	negative regulation of nitrogen compound metabolic process	biological_process	-0.729132504828659	0.0382842030814765
GO:0003735	structural constituent of ribosome	molecular_function	-0.721443865503801	0.0169073840300135
GO:0009064	glutamine family amino acid metabolic process	biological_process	-0.717114841763042	0.00139905212247735
GO:0005622	intracellular	cellular_component	-0.716876121204855	0.00270995236456651
GO:0004585	ornithine carbamoyltransferase activity	molecular_function	-0.709673248651658	0.0490180531003602
GO:0055114	oxidation-reduction process	biological_process	-0.705815422645212	0.010994483948432
GO:0006412	translation	biological_process	-0.699275096760001	0.0147821985410162
GO:0016743	carboxyl- or carbamoyltransferase activity	molecular_function	-0.683618819990624	0.0147821985410162
GO:0044267	cellular protein metabolic process	biological_process	-0.67210817202697	0.0169073840300135
GO:0005976	polysaccharide metabolic process	biological_process	-0.671945650608784	0.0430929685104523
GO:0043043	peptide biosynthetic process	biological_process	-0.66880890778431	0.0169073840300135
GO:0019538	protein metabolic process	biological_process	-0.666845017525926	0.0193703825122098
GO:0006518	peptide metabolic process	biological_process	-0.621219761411719	0.0222917713223281
GO:0006631	fatty acid metabolic process	biological_process	-0.605131099571341	0.0296764743763403
GO:0003746	translation elongation factor activity	molecular_function	-0.592624515934698	0.0126928119751561
GO:0016740	transferase activity	molecular_function	-0.532320438587625	0.00691085602609396
GO:0031224	intrinsic component of membrane	cellular_component	-0.514806355974823	0.0337946694375303
GO:0097367	carbohydrate derivative binding	molecular_function	-0.511723810713104	0.0222917713223281
GO:0008135	translation factor activity, RNA binding	molecular_function	-0.503453010831066	0.0258776866229412
GO:0003924	GTPase activity	molecular_function	-0.485532534053181	0.0193703825122098
GO:0044260	cellular macromolecule metabolic process	biological_process	-0.462328405434416	0.0490180531003602
GO:0070566	adenylyltransferase activity	molecular_function	-0.45449372983423	0.0337946694375303
GO:0006563	L-serine metabolic process	biological_process	-0.438419353597105	0.0490180531003602
GO:1901605	alpha-amino acid metabolic process	biological_process	-0.331044441852185	0.0337946694375303
GO:0043168	anion binding	molecular_function	-0.312843088579761	0.0296764743763403
GO:0006974	cellular response to DNA damage stimulus	biological_process	0.263089623674841	0.0169073840300135
GO:0019202	amino acid kinase activity	molecular_function	0.280380853863772	0.0382842030814765
GO:0051246	regulation of protein metabolic process	biological_process	0.311375904810763	0.00604526818234147
GO:0009070	serine family amino acid biosynthetic process	biological_process	0.325520577407218	0.0490180531003602
GO:0019843	rRNA binding	molecular_function	0.325907684549293	0.0430929685104523
GO:0032268	regulation of cellular protein metabolic process	biological_process	0.327603164970448	0.0037265988146589
GO:0003729	mRNA binding	molecular_function	0.329008596742835	0.0382842030814765
GO:0034248	regulation of cellular amide metabolic process	biological_process	0.329386187667946	0.0037265988146589
GO:0006417	regulation of translation	biological_process	0.330931567206406	0.00270995236456651
GO:0071702	organic substance transport	biological_process	0.337132446117916	0.0337946694375303
GO:0016787	hydrolase activity	molecular_function	0.357757734742385	0.00937786982476395
GO:0004072	aspartate kinase activity	molecular_function	0.378583634636538	0.0222917713223281
GO:0005975	carbohydrate metabolic process	biological_process	0.387630904499584	0.0222917713223281
GO:0050662	coenzyme binding	molecular_function	0.40242367297391	0.00793157185129575
GO:0043650	dicarboxylic acid biosynthetic process	biological_process	0.405833723456368	0.0490180531003602
GO:0022618	ribonucleoprotein complex assembly	biological_process	0.405940552360367	0.0382842030814765
GO:0007049	cell cycle	biological_process	0.409938213534389	0.0430929685104523
GO:0032559	adenyl ribonucleotide binding	molecular_function	0.412702658954018	0.00604526818234147
GO:0005524	ATP binding	molecular_function	0.413396424832531	0.00691085602609396
GO:0006094	gluconeogenesis	biological_process	0.423168383780023	0.0490180531003602
GO:0009605	response to external stimulus	biological_process	0.435025254065334	0.0258776866229412
GO:0140110	transcription regulator activity	molecular_function	0.435984646849654	0.0337946694375303
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	molecular_function	0.448618340023074	0.00513492886604168
GO:0051186	cofactor metabolic process	biological_process	0.449539237897781	0.0193703825122098
GO:0016043	cellular component organization	biological_process	0.45764299996209	0.0222917713223281
GO:0006950	response to stress	biological_process	0.461862430768228	0.0337946694375303
GO:0071840	cellular component organization or biogenesis	biological_process	0.468158967395553	0.0193703825122098
GO:0016020	membrane	cellular_component	0.477747712918838	0.00937786982476395
GO:0006222	UMP biosynthetic process	biological_process	0.477986238139703	0.0430929685104523
GO:0009173	pyrimidine ribonucleoside monophosphate metabolic process	biological_process	0.477986238139703	0.0430929685104523
GO:0032261	purine nucleotide salvage	biological_process	0.482324382336394	0.0382842030814765
GO:0006732	coenzyme metabolic process	biological_process	0.482631906340117	0.0169073840300135
GO:0008655	pyrimidine-containing compound salvage	biological_process	0.483884944918103	0.0490180531003602
GO:0042254	ribosome biogenesis	biological_process	0.486002266114692	0.0169073840300135
GO:0051171	regulation of nitrogen compound metabolic process	biological_process	0.490724096247703	0.00116552120905074
GO:0046700	heterocycle catabolic process	biological_process	0.492108297174124	0.0169073840300135
GO:0051188	cofactor biosynthetic process	biological_process	0.494014521886019	0.0169073840300135
GO:0006351	transcription, DNA-templated	biological_process	0.496899425028349	0.010994483948432
GO:0006418	tRNA aminoacylation for protein translation	biological_process	0.502287744785686	0.0126928119751561
GO:0016763	transferase activity, transferring pentosyl groups	molecular_function	0.508348257704334	0.0169073840300135
GO:0044270	cellular nitrogen compound catabolic process	biological_process	0.509574794814817	0.0169073840300135
GO:0043173	nucleotide salvage	biological_process	0.51089319036657	0.0126928119751561
GO:0009108	coenzyme biosynthetic process	biological_process	0.511747970777112	0.0169073840300135
GO:0033036	macromolecule localization	biological_process	0.516532241465075	0.0490180531003602
GO:0009991	response to extracellular stimulus	biological_process	0.520114531272117	0.0222917713223281
GO:0005996	monosaccharide metabolic process	biological_process	0.523794107209564	0.00691085602609396
GO:0006807	nitrogen compound metabolic process	biological_process	0.523906454358738	0.00513492886604168
GO:0008104	protein localization	biological_process	0.525124426365522	0.0337946694375303
GO:0070180	large ribosomal subunit rRNA binding	molecular_function	0.529141057441919	0.00316335177973848
GO:0070011	peptidase activity, acting on L-amino acid peptides	molecular_function	0.530382799287612	0.00793157185129575
GO:0000049	tRNA binding	molecular_function	0.532025678565233	0.00192447208815589
GO:0044271	cellular nitrogen compound biosynthetic process	biological_process	0.532682716823928	0.0037265988146589
GO:0017144	drug metabolic process	biological_process	0.534660631666956	0.00793157185129575
GO:0045184	establishment of protein localization	biological_process	0.53731895374677	0.0222917713223281
GO:0009147	pyrimidine nucleoside triphosphate metabolic process	biological_process	0.541566305938424	0.0430929685104523
GO:0015031	protein transport	biological_process	0.548157543470985	0.0222917713223281
GO:0071704	organic substance metabolic process	biological_process	0.551034048009605	0.0037265988146589
GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process	biological_process	0.552154848768751	0.0430929685104523
GO:0043933	protein-containing complex subunit organization	biological_process	0.553670657962485	0.00513492886604168
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process	biological_process	0.557530374515302	0.0382842030814765
GO:0009209	pyrimidine ribonucleoside triphosphate biosynthetic process	biological_process	0.557530374515302	0.0382842030814765
GO:0019318	hexose metabolic process	biological_process	0.557739051349387	0.0044246754350769
GO:0006259	DNA metabolic process	biological_process	0.558952079308725	0.00793157185129575
GO:0006261	DNA-dependent DNA replication	biological_process	0.561725554573531	0.0147821985410162
GO:1901576	organic substance biosynthetic process	biological_process	0.563194690029874	0.00316335177973848
GO:0009057	macromolecule catabolic process	biological_process	0.56848711047536	0.0126928119751561
GO:0005623	cell	cellular_component	0.568949719821621	0.0296764743763403
GO:0006566	threonine metabolic process	biological_process	0.578228980610685	0.0193703825122098
GO:0006886	intracellular protein transport	biological_process	0.58033383534616	0.0126928119751561
GO:0006189	'de novo' IMP biosynthetic process	biological_process	0.582447148038931	0.0382842030814765
GO:0006399	tRNA metabolic process	biological_process	0.584234536169365	0.00793157185129575
GO:0065007	biological regulation	biological_process	0.586147937824585	0.000509964303303526
GO:0032787	monocarboxylic acid metabolic process	biological_process	0.587496781974377	0.00691085602609396
GO:0051179	localization	biological_process	0.592326360759213	0.000648372570666835
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	molecular_function	0.596154161940245	0.00691085602609396
GO:0009058	biosynthetic process	biological_process	0.600133929695211	0.00226962648510339
GO:0005694	chromosome	cellular_component	0.602636884734615	0.0169073840300135
