id	taxon_name	log2fc_WS_over_NS	corrected_p
1311	Streptococcus agalactiae	3.44957683184035	0.0140792575409589
1303	Streptococcus oralis	3.31743653954793	0.0140792575409589
1318	Streptococcus parasanguinis	2.81132785388247	0.0186007435222595
1300	Streptococcaceae	1.64493709112461	0.0140792575409589
1301	Streptococcus	1.63512079010537	0.0140792575409589
186826	Lactobacillales	1.20111135813547	0.0186007435222595
91061	Bacilli	1.11725072917839	0.0186007435222595
1239	Firmicutes	0.788701866560842	0.0186007435222595
976	Bacteroidetes	-2.43843292244383	0.0186007435222595
543	Enterobacteriaceae	-2.88299980810211	0.0186007435222595
91347	Enterobacterales	-3.18187848352008	0.0186007435222595
1224	Proteobacteria	-3.32962104785669	0.0140792575409589
28216	Betaproteobacteria	-3.40934540726381	0.034661169458355
1236	Gammaproteobacteria	-3.44987224355085	0.0140792575409589
729	Haemophilus parainfluenzae	-3.60190049778759	0.0321784715657774
712	Pasteurellaceae	-3.69264941628467	0.0226084276874808
724	Haemophilus	-3.84852114362434	0.0226084276874808
860	Fusobacterium periodonticum	-4.56197238402572	0.0206733025780959
481	Neisseriaceae	-4.70000129872607	0.0186007435222595
203491	Fusobacteriales	-5.0841866408552	0.0140792575409589
848	Fusobacterium	-5.12065087482802	0.0140792575409589
