Protein assigned by MEGAN5 using SEED spectral counts	logFC	adjPValue	GO id	GO name assigned by metaQuant	namespace	log2fc_WS_over_NS	corrected_p
Pyruvate oxidase (EC 1.2.3.3)	3.83	8.01E-26	GO:0047112	pyruvate oxidase activity	molecular_function	5.8582662254	0.0006012913
Acetolactate synthase large subunit (EC 2.2.1.6)	2.62	1.44E-05	No Match	No GO terms associated with this enzyme in MetaCyc			
Iron-sulfur cluster assembly protein SufB	2.27	1.36E-14	GO:0051537	2 iron, 2 sulfur cluster binding	molecular_function	-1.1911506638	0.0145071343
Ketol-acid reductoisomerase (EC 1.1.1.86)	1.92	2.54E-17	GO:0004455	ketol-acid reductoisomerase activity	molecular_function	3.7626761679	0.0005099643
L-lactate dehydrogenase (EC 1.1.1.27)	1.9	2.98E-14	GO:0004459	L-lactate dehydrogenase activity	molecular_function	2.9881531849	0.0005099643
NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	1.69	1.92E-05	GO:0006536	glutamate metabolic process	biological_process	-2.4922905954	0.0006159891
Chaperone protein DnaJ	1.34	1.59E-07	GO:0031072	heat shock protein binding	molecular_function	3.2218402494	0.0005099643
Glutamine synthetase type I (EC 6.3.1.2)	1.33	4.13E-10	GO:0006542	glutamine biosynthetic process	biological_process	2.8006260075	0.0005099643
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	1.08	8.07E-07	GO:0004332	fructose-bisphosphate aldolase activity	molecular_function	1.1626176463	0.0031633518
Heat shock protein 60 family co-chaperone GroES	1.03	1.41E-05	GO:0031072	heat shock protein binding	molecular_function	3.2218402494	0.0005099643
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	0.96	2.65E-04	GO:0009082	branched-chain amino acid biosynthetic process	biological_process	2.7171498361	0.0005099643
Enolase (EC 4.2.1.11)	0.47	4.56E-02	GO:0000015	phosphopyruvate hydratase complex	cellular_component	1.8739291718	0.0005099643
Arginine deiminase (EC 3.5.3.6)	-0.55	4.04E-02	No Match	No GO terms associated with this enzyme in MetaCyc			
Carbamate kinase (EC 2.7.2.2)	-0.86	6.86E-03	No Match	No GO terms associated with this enzyme in MetaCyc			
Pyruvate formate-lyase (EC 2.3.1.54)	-1.12	5.89E-06	GO:0008861	formate C-acetyltransferase activity	molecular_function	-1.1161367728	0.0009941074
Acetate kinase (EC 2.7.2.1)	-1.41	8.71E-13	GO:0008776	acetate kinase activity	molecular_function	-2.0301119346	0.006910856
Histidine ammonia-lyase (EC 4.3.1.3)	-1.86	2.62E-03	GO:0004397	histidine ammonia-lyase activity	molecular_function	-2.9546100673	0.0008236169
NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	-4.2	2.87E-13	GO:0006536	glutamate metabolic process	biological_process	-2.4922905954	0.0006159891
Tryptophanase (EC 4.1.99.1)	-6.46	1.07E-15	No match	No GO terms associated with this enzyme in MetaCyc			
Lysine 2,3-aminomutase (EC 5.4.3.2)	-8.34	1.53E-10	GO:0006553	lysine metabolic process	biological_process	-1.1886524436	0.0490180531
