id	taxon_name	rank	g1_mean	Run4_P1	Run4_P2	Run4_P3	Run4_P4	Run5_P1	Run5_P2	Run5_P3	Run5_P4	Run4_P1_n_peptide	Run4_P2_n_peptide	Run4_P3_n_peptide	Run4_P4_n_peptide	Run5_P1_n_peptide	Run5_P2_n_peptide	Run5_P3_n_peptide	Run5_P4_n_peptide	Run4_P1_n_samp_children	Run4_P2_n_samp_children	Run4_P3_n_samp_children	Run4_P4_n_samp_children	Run5_P1_n_samp_children	Run5_P2_n_samp_children	Run5_P3_n_samp_children	Run5_P4_n_samp_children
22	Shewanella	genus	18.12303912210419	NA	NA	NA	18.32599534574005	18.054347291696587	18.17443712240208	NA	17.904062430148052	NA	NA	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	1.0	1.0	1.0	NA	1.0
112	Planctomycetales	order	20.125850715728145	20.510244555198742	20.52186589848317	19.628854707558524	19.895797580157296	20.39127191365472	20.11308589492099	19.47031232097161	20.11079678542818	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
123	Pirellula	genus	20.125850715728145	20.510244555198742	20.52186589848317	19.628854707558524	19.895797580157296	20.39127191365472	20.11308589492099	19.47031232097161	20.11079678542818	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
125	Pirellula staleyi	species	20.125850715728145	20.510244555198742	20.52186589848317	19.628854707558524	19.895797580157296	20.39127191365472	20.11308589492099	19.47031232097161	20.11079678542818	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
126	Planctomycetaceae	family	20.125850715728145	20.510244555198742	20.52186589848317	19.628854707558524	19.895797580157296	20.39127191365472	20.11308589492099	19.47031232097161	20.11079678542818	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
226	Alteromonas	genus	27.058051587600822	27.058867169201072	27.317935620396515	27.246518148230475	26.860668705841174	26.809972177981766	27.107426819025317	27.083580758423636	26.899111307608248	250.0	257.0	249.0	251.0	251.0	249.0	240.0	249.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
265	Paracoccus	genus	28.18861744438672	28.098276692995444	28.094798197169077	28.072089287331316	28.1601560991436	28.247530218335285	28.27188229215501	28.134070124796857	28.398757335272776	377.0	373.0	361.0	370.0	382.0	366.0	363.0	370.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0
266	Paracoccus denitrificans	species	23.656839968830983	23.74596237814865	23.798588374614376	23.917476090039276	23.797656007783797	23.566766946904043	23.288229941195056	23.596609840376242	23.4382176233168	27.0	28.0	24.0	29.0	31.0	29.0	28.0	30.0	NA	NA	NA	NA	NA	NA	NA	NA
270	Thermus	genus	30.16764141032907	29.932473466346366	29.93518300381094	30.203520018810398	30.151949175649047	30.09474203856278	30.214204790334175	30.383336956902905	30.356772659970375	1620.0	1623.0	1616.0	1616.0	1596.0	1621.0	1599.0	1609.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
274	Thermus thermophilus	species	28.552429838711085	28.44413972974249	28.419408773248822	28.76463840360797	28.85263406464247	28.444750761162865	28.341819068768487	28.379092635439466	28.678839841785297	390.0	386.0	384.0	381.0	376.0	388.0	385.0	386.0	NA	NA	NA	NA	NA	NA	NA	NA
286	Pseudomonas	genus	31.435396821352832	31.06563428770876	31.96901867832027	30.921503216661684	31.400035506571967	31.135938334142935	31.982937627170916	30.97055304905456	31.577764821696668	3493.0	3634.0	3453.0	3564.0	3434.0	3595.0	3364.0	3531.0	21.0	21.0	21.0	21.0	20.0	21.0	20.0	21.0
