id	name	namespace	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
GO:0000003	reproduction	biological_process	17.14099064070919	20.302887842957464	NA	20.42441974693744	16.525838305691494	19.803846352495132	17.570889408152777	20.57136279301322	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0
GO:0000015	phosphopyruvate hydratase complex	cellular_component	25.168691917755062	26.458310508788827	24.75548259720653	26.54332145529456	24.678264477891382	27.074477073841926	25.789029486400896	25.159663649000215	6.0	5.0	6.0	6.0	6.0	5.0	NA	NA	NA	NA	NA	NA
GO:0000027	ribosomal large subunit assembly	biological_process	25.44443710886667	25.228190424648524	25.763785086870268	23.77259691817897	25.093231297321108	23.648320600702256	25.397970394878943	26.430377966174827	6.0	4.0	7.0	7.0	5.0	4.0	NA	NA	NA	NA	NA	NA
GO:0000028	ribosomal small subunit assembly	biological_process	23.10590729419916	23.94396292972822	23.19810276180925	23.922300948093888	23.05003844107072	23.0411853985553	23.064926523167422	24.50960569110506	6.0	4.0	4.0	4.0	6.0	4.0	NA	NA	NA	NA	NA	NA
GO:0000035	acyl binding	molecular_function	24.711009755359246	21.508051590825236	25.54243337358476	NA	22.58131140998966	22.495653502517907	24.699500250051543	15.639352108297475	1.0	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0000036	acyl carrier activity	molecular_function	24.99372409263937	24.223481405660166	25.708303264094763	23.732744927669486	23.550939880482336	23.444709046534413	24.98088313936998	24.99365562907352	2.0	1.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA
GO:0000041	transition metal ion transport	biological_process	20.888738342856296	20.725932864108763	20.987410810103285	17.009629618056177	NA	NA	20.782818504855026	21.66998026299931	1.0	1.0	NA	NA	1.0	1.0	1.0	1.0	NA	NA	1.0	1.0
GO:0000049	tRNA binding	molecular_function	25.324872971340426	26.081560308304965	25.28763724232842	26.22513416199408	25.180973754366814	26.025752789518602	25.488899642706947	25.981982464570333	18.0	18.0	23.0	23.0	22.0	18.0	NA	NA	NA	NA	NA	NA
GO:0000050	urea cycle	biological_process	23.70634445748598	23.80244882042808	24.099031545233046	23.447391024841664	21.215798071181656	23.94540424155173	24.3001521510851	23.958194103628987	2.0	1.0	2.0	2.0	2.0	1.0	NA	NA	NA	NA	NA	NA
GO:0000096	sulfur amino acid metabolic process	biological_process	21.71145042964663	23.535216908535794	21.494005767477024	23.065623107047312	22.275804550828397	23.7369008768606	21.114581024341188	23.70871812569049	6.0	9.0	10.0	11.0	3.0	7.0	3.0	3.0	3.0	3.0	3.0	3.0
