id	name	namespace	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children	log2fc_NS_over_WS	p	corrected_p
GO:0000015	phosphopyruvate hydratase complex	cellular_component	25.168691917755066	26.45831050878883	24.75548259720653	26.543321455294556	24.678264477891393	27.07447707384193	25.789029486400896	25.159663649000212	6.0	5.0	6.0	6.0	6.0	5.0	NA	NA	NA	NA	NA	NA	-1.289618591033765	0.153461468882962	0.2393221894478597
GO:0000027	ribosomal large subunit assembly	biological_process	25.444437108866676	25.228190424648524	25.76378508687027	23.77259691817897	25.09323129732111	23.64832060070225	25.397970394878946	26.430377966174827	6.0	4.0	7.0	7.0	5.0	4.0	NA	NA	NA	NA	NA	NA	0.2162466842181523	0.4365360158470382	0.5432448197207587
GO:0000028	ribosomal small subunit assembly	biological_process	23.105907294199167	23.94396292972822	23.19810276180925	23.92230094809389	23.05003844107072	23.041185398555303	23.064926523167426	24.50960569110506	6.0	4.0	4.0	4.0	6.0	4.0	NA	NA	NA	NA	NA	NA	-0.8380556355290523	0.16881785603171326	0.2593311703629311
GO:0000049	tRNA binding	molecular_function	25.324872971340426	26.08156030830496	25.28763724232842	26.225134161994077	25.180973754366807	26.0257527895186	25.488899642706947	25.981982464570326	18.0	18.0	23.0	23.0	22.0	18.0	NA	NA	NA	NA	NA	NA	-0.7566873369645357	0.00294307424197266	0.022983633806058907
GO:0000096	sulfur amino acid metabolic process	biological_process	21.71145042964663	23.535216908535794	21.49400576747702	23.06562310704731	22.2758045508284	23.7369008768606	21.114581024341188	23.70871812569049	6.0	9.0	10.0	11.0	3.0	7.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.8237664788891657	0.009891903959793232	0.03973941792749304
GO:0000097	sulfur amino acid biosynthetic process	biological_process	20.686783670226728	22.486665420567714	20.494005767477024	22.05197895106844	21.275804550828397	22.694711998437306	19.999112019174067	22.630741033033363	3.0	4.0	5.0	5.0	1.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	-1.7998817503409867	0.011621725097677539	0.04301923267523727
GO:0000104	succinate dehydrogenase activity	molecular_function	23.43406619669936	24.95901654767852	23.76488783868241	25.343418785222287	23.15655435897833	22.997657552632308	23.30946547841598	25.482974589086066	4.0	2.0	4.0	4.0	4.0	3.0	NA	NA	NA	NA	NA	NA	-1.5249503509791609	0.2209471910452954	0.31799876094369617
GO:0000166	nucleotide binding	molecular_function	30.22832490558093	31.115076086797746	30.082512678890122	30.822152636036392	30.285443302657875	31.349109726112328	30.30658494562011	31.126049185816	463.0	551.0	616.0	684.0	612.0	554.0	5.0	5.0	5.0	5.0	5.0	5.0	-0.8867511812168161	0.0065809899561225715	0.029074260679022697
GO:0000272	polysaccharide catabolic process	biological_process	22.076251665350316	22.986714628565522	21.098524248431413	22.685322217047077	22.018081771895428	23.693084738553427	22.691422409457086	22.142043265791813	2.0	3.0	5.0	5.0	4.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	-0.9104629632152061	0.23526941113294442	0.3362551212480134
GO:0000287	magnesium ion binding	molecular_function	26.722253955967197	28.17394132927803	26.950320644066487	27.82693718978384	26.122376333271408	28.73695125701984	26.947437257624017	27.732574825515428	40.0	40.0	45.0	51.0	52.0	39.0	NA	NA	NA	NA	NA	NA	-1.4516873733108326	0.027929753417299013	0.06419674666065743
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	23.143554219204642	23.506156263381104	23.30592288901328	23.575681222612754	22.822256697053753	24.22102307198421	23.255289624522728	21.813222044981718	7.0	6.0	6.0	8.0	7.0	5.0	NA	NA	NA	NA	NA	NA	-0.36260204417646236	0.9232219076682152	0.9384565926132353
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	25.619157432612585	25.295342085930496	26.095338569902147	24.906256216480237	25.232775870264767	25.36710603537391	25.37429688772296	25.540698729996627	4.0	3.0	5.0	5.0	5.0	3.0	NA	NA	NA	NA	NA	NA	0.323815346682089	0.41685501035093264	0.5240462987268868
GO:0001882	nucleoside binding	molecular_function	27.720547369638513	28.320424406941317	27.454934921942968	27.959625674522986	27.85249890703343	28.32226140896475	27.82136293603473	28.607296748543238	82.0	92.0	100.0	108.0	101.0	88.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.5998770373028037	0.06082532145863989	0.11251771176733384
GO:0002161	aminoacyl-tRNA editing activity	molecular_function	20.679659895673087	22.55409779723287	19.64217472455539	22.640289806954733	20.424608952146748	22.805916566847795	21.423706003621376	22.134683746225107	3.0	6.0	7.0	8.0	6.0	6.0	NA	NA	NA	NA	NA	NA	-1.8744379015597836	0.02145342432802787	0.054642590971228665
GO:0002181	cytoplasmic translation	biological_process	24.35472560437373	25.69928397663519	24.83371899742227	25.497065985910048	23.53392278100809	25.533288486250072	24.41145107103931	26.009011410100182	6.0	5.0	6.0	7.0	5.0	5.0	NA	NA	NA	NA	NA	NA	-1.34455837226146	0.02710634349860969	0.0639180860625424
