Query	Entry	Entry name	Status	Protein names	Gene ontology IDs	Gene names	Organism	Length
P02768	P02768	ALBU_HUMAN	reviewed	Serum albumin	GO:0001895; GO:0002576; GO:0003677; GO:0005504; GO:0005507; GO:0005576; GO:0005615; GO:0005634; GO:0005783; GO:0005788; GO:0005794; GO:0006898; GO:0008144; GO:0009267; GO:0015643; GO:0016209; GO:0019836; GO:0030170; GO:0031093; GO:0032991; GO:0034375; GO:0042802; GO:0043066; GO:0043069; GO:0043209; GO:0043687; GO:0044267; GO:0051087; GO:0051659; GO:0070062; GO:0072562	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)	609
Q15843	Q15843	NEDD8_HUMAN	reviewed	NEDD8 (Neddylin) (Neural precursor cell expressed developmentally down-regulated protein 8) (NEDD-8) (Ubiquitin-like protein Nedd8)	GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0006464; GO:0006508; GO:0006511; GO:0006879; GO:0008104; GO:0009653; GO:0014070; GO:0016579; GO:0031625; GO:0043687; GO:0045116; GO:0070062	NEDD8	Homo sapiens (Human)	81
P01112	P01112	RASH_HUMAN	reviewed	GTPase HRas (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	GO:0000139; GO:0000165; GO:0001934; GO:0002223; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006897; GO:0006935; GO:0007050; GO:0007093; GO:0007165; GO:0007166; GO:0007265; GO:0008022; GO:0008283; GO:0008284; GO:0008285; GO:0009887; GO:0010629; GO:0010863; GO:0019003; GO:0030335; GO:0032729; GO:0034260; GO:0035900; GO:0042088; GO:0042832; GO:0043406; GO:0043410; GO:0043524; GO:0043547; GO:0045740; GO:0045944; GO:0046330; GO:0046579; GO:0048013; GO:0048169; GO:0048471; GO:0050679; GO:0050852; GO:0051291; GO:0070374; GO:0071480; GO:0090303; GO:0090314; GO:0090398; GO:0097193; GO:0098696; GO:0098978; GO:1900029; GO:2000251; GO:2000630	HRAS HRAS1	Homo sapiens (Human)	189
P04040	P04040	CATA_HUMAN	reviewed	Catalase (EC 1.11.1.6)	GO:0000302; GO:0001649; GO:0001657; GO:0001666; GO:0004046; GO:0004096; GO:0005102; GO:0005576; GO:0005739; GO:0005758; GO:0005764; GO:0005777; GO:0005778; GO:0005782; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0005925; GO:0006625; GO:0006641; GO:0007568; GO:0008203; GO:0009060; GO:0009642; GO:0009650; GO:0010193; GO:0010288; GO:0014068; GO:0014823; GO:0014854; GO:0016020; GO:0016209; GO:0016684; GO:0019899; GO:0020027; GO:0020037; GO:0032088; GO:0032355; GO:0032868; GO:0033189; GO:0033197; GO:0033591; GO:0034599; GO:0034774; GO:0042542; GO:0042744; GO:0042802; GO:0042803; GO:0043066; GO:0043231; GO:0043312; GO:0045471; GO:0046686; GO:0046872; GO:0050661; GO:0051092; GO:0051262; GO:0051289; GO:0051781; GO:0055093; GO:0070062; GO:0070542; GO:0071363; GO:0080184; GO:1904813	CAT	Homo sapiens (Human)	527
P02753	P02753	RET4_HUMAN	reviewed	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)]	GO:0001523; GO:0001654; GO:0005576; GO:0005615; GO:0005829; GO:0006094; GO:0007507; GO:0007601; GO:0016918; GO:0019841; GO:0030277; GO:0030324; GO:0032024; GO:0032526; GO:0032991; GO:0034632; GO:0034633; GO:0042572; GO:0042593; GO:0045471; GO:0046982; GO:0048562; GO:0048706; GO:0048738; GO:0048807; GO:0051024; GO:0060044; GO:0060059; GO:0060065; GO:0060068; GO:0060157; GO:0060347; GO:0070062	RBP4 PRO2222	Homo sapiens (Human)	201
P06396	P06396	GELS_HUMAN	reviewed	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GO:0001726; GO:0002102; GO:0003779; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0007568; GO:0010628; GO:0014003; GO:0014891; GO:0015629; GO:0016528; GO:0030027; GO:0030041; GO:0030155; GO:0030478; GO:0030864; GO:0031648; GO:0034774; GO:0042246; GO:0042989; GO:0043209; GO:0043312; GO:0044267; GO:0045010; GO:0045159; GO:0045335; GO:0045471; GO:0046597; GO:0048015; GO:0048471; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0051593; GO:0051693; GO:0060271; GO:0070062; GO:0071276; GO:0071346; GO:0071801; GO:0072562; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1904813; GO:1990000; GO:2001269	GSN	Homo sapiens (Human)	782
P01375	P01375	TNFA_HUMAN	reviewed	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	GO:0000060; GO:0000122; GO:0000165; GO:0000185; GO:0000187; GO:0000977; GO:0001819; GO:0001891; GO:0001934; GO:0001937; GO:0002020; GO:0002439; GO:0002740; GO:0002876; GO:0002925; GO:0005125; GO:0005164; GO:0005576; GO:0005615; GO:0005886; GO:0005887; GO:0006006; GO:0006357; GO:0006919; GO:0006954; GO:0006959; GO:0007249; GO:0007254; GO:0008625; GO:0008630; GO:0009615; GO:0009651; GO:0009897; GO:0009986; GO:0010628; GO:0010629; GO:0010693; GO:0010803; GO:0010888; GO:0014068; GO:0019221; GO:0030198; GO:0030316; GO:0030730; GO:0030866; GO:0031334; GO:0031622; GO:0031663; GO:0032715; GO:0032722; GO:0032729; GO:0032755; GO:0032757; GO:0032800; GO:0033138; GO:0033209; GO:0034116; GO:0035509; GO:0042802; GO:0043065; GO:0043068; GO:0043122; GO:0043123; GO:0043242; GO:0043243; GO:0043280; GO:0043406; GO:0043491; GO:0043507; GO:0044130; GO:0044212; GO:0045071; GO:0045080; GO:0045121; GO:0045416; GO:0045429; GO:0045599; GO:0045662; GO:0045668; GO:0045672; GO:0045732; GO:0045785; GO:0045860; GO:0045892; GO:0045893; GO:0045930; GO:0045944; GO:0045994; GO:0046325; GO:0048566; GO:0048661; GO:0050715; GO:0050754; GO:0050766; GO:0050768; GO:0050796; GO:0050830; GO:0050901; GO:0050995; GO:0051023; GO:0051044; GO:0051091; GO:0051092; GO:0051222; GO:0051384; GO:0051798; GO:0051897; GO:0055037; GO:0060557; GO:0060559; GO:0060664; GO:0060693; GO:0061048; GO:0070374; GO:0070886; GO:0071230; GO:0071316; GO:0071407; GO:0071550; GO:0071677; GO:0071803; GO:0072577; GO:0072659; GO:0090197; GO:0097191; GO:0097527; GO:1901224; GO:1901671; GO:1903140; GO:1903347; GO:1904707; GO:1904996; GO:1904999; GO:2000010; GO:2000304; GO:2000334; GO:2000343; GO:2001240	TNF TNFA TNFSF2	Homo sapiens (Human)	233
P15559	P15559	NQO1_HUMAN	reviewed	NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1)	GO:0003723; GO:0003955; GO:0004128; GO:0004784; GO:0005737; GO:0005829; GO:0006521; GO:0006805; GO:0006809; GO:0007271; GO:0007568; GO:0007584; GO:0009636; GO:0030425; GO:0032355; GO:0042802; GO:0043025; GO:0043066; GO:0043086; GO:0043525; GO:0045471; GO:0051602; GO:0070301; GO:0071248; GO:1901698; GO:1904880	NQO1 DIA4 NMOR1	Homo sapiens (Human)	274
Q06830	Q06830	PRDX1_HUMAN	reviewed	Peroxiredoxin-1 (EC 1.11.1.15) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2)	GO:0001501; GO:0001895; GO:0003723; GO:0004601; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0008283; GO:0008379; GO:0019430; GO:0030101; GO:0032872; GO:0034101; GO:0034599; GO:0042267; GO:0042470; GO:0042744; GO:0042802; GO:0043209; GO:0045296; GO:0045454; GO:0070062; GO:1901222	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)	199
P00167	P00167	CYB5_HUMAN	reviewed	Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)	GO:0004033; GO:0004129; GO:0005741; GO:0005789; GO:0005829; GO:0016020; GO:0016021; GO:0019852; GO:0019899; GO:0020037; GO:0043231; GO:0046686; GO:0046872	CYB5A CYB5	Homo sapiens (Human)	134
P06732	P06732	KCRM_HUMAN	reviewed	Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK)	GO:0004111; GO:0005524; GO:0005829; GO:0006600; GO:0046314	CKM CKMM	Homo sapiens (Human)	381
P02741	P02741	CRP_HUMAN	reviewed	C-reactive protein [Cleaved into: C-reactive protein(1-205)]	GO:0001849; GO:0005509; GO:0005576; GO:0005615; GO:0006953; GO:0006954; GO:0008228; GO:0010628; GO:0010745; GO:0010888; GO:0030169; GO:0032930; GO:0033265; GO:0042802; GO:0050750; GO:0050830; GO:0097756; GO:2000482	CRP PTX1	Homo sapiens (Human)	224
P61626	P61626	LYSC_HUMAN	reviewed	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	GO:0001895; GO:0003796; GO:0005576; GO:0005615; GO:0006954; GO:0016998; GO:0019730; GO:0019835; GO:0031640; GO:0035578; GO:0035580; GO:0042742; GO:0042802; GO:0043312; GO:0044267; GO:0050829; GO:0050830; GO:0070062; GO:1904724	LYZ LZM	Homo sapiens (Human)	148
